order_id,order_date,product_id,market_id,customer_id,quantity_units,fob_price_usd_per_unit,discount_pct,net_fob_price_usd,total_fob_value_usd,exchange_rate_on_date,total_fob_value_inr,cogs_inr_per_unit,total_cogs_inr,gross_profit_inr,gross_margin_pct,payment_terms_days,payment_due_date,payment_received_date,payment_delay_days,payment_status,order_channel,order_status,incoterm,fiscal_year,quarter,month_num,month_name,week_num,is_repeat_order,days_since_last_order
11,16-07-2022,P031,M02,C0289,62,21,7,19.53,1210.86,22.7,27486.52,403.2,24998.4,2488.12,9.05,90,14-10-2022,17-10-2022,3,Paid Late,Amazon,Processing,FOB,2022,Q3,7,July,28,N,19
12,20-02-2022,P010,M03,C0060,50,38,7,35.34,1767,105.2,185888.4,761.6,38080,147808.4,79.51,15,07-03-2022,07-04-2022,31,Overdue,Etsy,Delivered,FOB,2022,Q1,2,February,7,Y,169
13,09-03-2023,P037,M10,C0281,69,12,0,12,828,89.7,74271.6,201.6,13910.4,60361.2,81.27,45,23-04-2023,25-05-2023,32,Overdue,Noon,Delivered,DDP,2023,Q1,3,March,10,Y,95
14,09-08-2024,P012,M09,C0182,50,22,2,21.56,1078,22.3,24039.4,425.6,21280,2759.4,11.48,45,23-09-2024,01-11-2024,39,Overdue,Amazon,Returned,FOB,2024,Q3,8,August,32,N,45
15,11-04-2024,P036,M02,C0047,50,22,0,22,1100,22.7,24970,425.6,21280,3690,14.78,60,10-06-2024,03-07-2024,23,Overdue,Noon,Delivered,CIF,2024,Q2,4,April,15,Y,102
16,06-08-2023,P022,M01,C0122,81,16,2,15.68,1270.08,83.5,106051.68,313.6,25401.6,80650.08,76.05,60,05-10-2023,11-10-2023,6,Paid Late,Direct B2B,Delivered,CIF,2023,Q3,8,August,31,Y,67
17,06-10-2023,P018,M02,C0096,360,13,12,11.44,4118.4,22.7,93487.68,218.4,78624,14863.68,15.9,60,05-12-2023,12-01-2024,38,Overdue,Wayfair,Delivered,FOB,2023,Q4,10,October,40,N,37
18,03-06-2022,P038,M03,C0203,397,25,5,23.75,9428.75,105.2,991904.5,492.8,195641.6,796262.9,80.28,30,03-07-2022,04-08-2022,32,Overdue,Etsy,Delivered,CIF,2022,Q2,6,June,22,Y,130
19,25-07-2024,P022,M18,C0256,50,16,0,16,800,7.8,6240,313.6,15680,-9440,0,60,23-09-2024,25-10-2024,32,Overdue,Etsy,Delivered,DDP,2024,Q3,7,July,30,Y,21
20,22-05-2024,P037,M03,C0198,50,12,3,11.64,582,105.2,61226.4,201.6,10080,51146.4,83.54,30,21-06-2024,10-07-2024,19,Overdue,Amazon,Delivered,FOB,2024,Q2,5,May,21,Y,145
21,23-12-2023,P018,M02,C0236,50,13,0,13,650,22.7,14755,218.4,10920,3835,25.99,30,22-01-2024,28-01-2024,6,Paid Late,Amazon,Delivered,FOB,2023,Q4,12,December,51,Y,91
22,07-06-2023,P026,M10,C0124,184,56,3,54.32,9994.88,89.7,896540.74,1097.6,201958.4,694582.34,77.47,30,07-07-2023,06-07-2023,-1,Paid On Time,Direct B2B,Shipped,DDP,2023,Q2,6,June,23,N,66
23,01-12-2024,P021,M02,C0133,50,18,5,17.1,855,22.7,19408.5,358.4,17920,1488.5,7.67,30,31-12-2024,01-02-2025,32,Pending,Direct B2B,Delivered,CIF,2024,Q4,12,December,48,Y,176
24,07-09-2024,P014,M10,C0273,81,24,2,23.52,1905.12,89.7,170889.26,470.4,38102.4,132786.86,77.7,15,22-09-2024,01-10-2024,9,Paid Late,Direct B2B,Delivered,CIF,2024,Q3,9,September,36,Y,32
25,13-12-2023,P026,M02,C0102,83,56,2,54.88,4555.04,22.7,103399.41,1097.6,91100.8,12298.61,11.89,30,12-01-2024,08-02-2024,27,Overdue,Amazon,Delivered,FOB,2023,Q4,12,December,50,Y,53
26,08-02-2023,P027,M17,C0134,50,35,0,35,1750,271.5,475125,694.4,34720,440405,92,45,25-03-2023,31-03-2023,6,Paid Late,Noon,Delivered,FOB,2023,Q1,2,February,6,N,43
27,20-11-2023,P004,M09,C0223,151,18,2,17.64,2663.64,22.3,59399.17,358.4,54118.4,5280.77,8.89,30,20-12-2023,10-01-2024,21,Overdue,Amazon,Shipped,FOB,2023,Q4,11,November,47,Y,168
28,09-10-2023,P025,M07,C0022,50,30,0,30,1500,89.7,134550,582.4,29120,105430,78.36,30,08-11-2023,25-11-2023,17,Overdue,Etsy,Delivered,CIF,2023,Q4,10,October,41,Y,143
29,07-03-2023,P036,M03,C0239,68,22,0,22,1496,105.2,157379.2,425.6,28940.8,128438.4,81.61,30,06-04-2023,10-04-2023,4,Paid Late,Distributor,Delivered,CIF,2023,Q1,3,March,10,Y,136
30,09-12-2022,P027,M05,C0238,97,35,7,32.55,3157.35,54.3,171444.1,694.4,67356.8,104087.3,60.71,30,08-01-2023,05-01-2023,-3,Paid On Time,Trade Fair,Delivered,CIF,2022,Q4,12,December,49,N,98
31,24-03-2023,P039,M01,C0103,50,46,5,43.7,2185,83.5,182447.5,918.4,45920,136527.5,74.83,30,23-04-2023,26-05-2023,33,Overdue,Direct B2B,Cancelled,FOB,2023,Q1,3,March,12,N,151
32,08-10-2023,P026,M04,C0036,94,56,2,54.88,5158.72,61.8,318808.9,1097.6,103174.4,215634.5,67.64,60,07-12-2023,09-12-2023,2,Paid Late,Etsy,Delivered,CIF,2023,Q4,10,October,40,N,178
33,20-04-2023,P034,M05,C0300,126,18,0,18,2268,54.3,123152.4,358.4,45158.4,77994,63.33,30,20-05-2023,26-05-2023,6,Paid Late,Wayfair,Delivered,FOB,2023,Q2,4,April,16,N,0
34,31-10-2022,P006,M01,C0083,50,16,2,15.68,784,83.5,65464,291.2,14560,50904,77.76,30,30-11-2022,13-12-2022,13,Paid Late,Noon,Delivered,FOB,2022,Q4,10,October,44,N,105
35,19-04-2024,P010,M06,C0123,90,38,12,33.44,3009.6,61.2,184187.52,761.6,68544,115643.52,62.79,45,03-06-2024,27-06-2024,24,Overdue,Direct B2B,Delivered,FOB,2024,Q2,4,April,16,Y,31
36,22-08-2023,P012,M03,C0233,114,22,3,21.34,2432.76,105.2,255926.35,425.6,48518.4,207407.95,81.04,60,21-10-2023,19-11-2023,29,Overdue,Distributor,Delivered,CIF,2023,Q3,8,August,34,Y,152
37,16-03-2022,P004,M13,C0296,101,18,0,18,1818,4.5,8181,358.4,36198.4,-28017.4,0,45,30-04-2022,08-05-2022,8,Paid Late,Amazon,Delivered,FOB,2022,Q1,3,March,11,Y,94
38,04-02-2023,P036,M09,C0068,84,22,2,21.56,1811.04,22.3,40386.19,425.6,35750.4,4635.79,11.48,45,21-03-2023,18-04-2023,28,Overdue,Distributor,Delivered,CIF,2023,Q1,2,February,5,Y,65
39,13-09-2024,P004,M09,C0085,50,18,5,17.1,855,22.3,19066.5,358.4,17920,1146.5,6.01,60,12-11-2024,04-12-2024,22,Overdue,Direct B2B,Delivered,FOB,2024,Q3,9,September,37,Y,51
40,11-04-2024,P001,M12,C0175,95,15,0,15,1425,18.8,26790,313.6,29792,-3002,0,30,11-05-2024,04-06-2024,24,Overdue,Amazon,Delivered,FOB,2024,Q2,4,April,15,N,41
41,23-12-2022,P019,M03,C0124,56,25,0,25,1400,105.2,147280,492.8,27596.8,119683.2,81.26,30,22-01-2023,25-01-2023,3,Paid Late,Etsy,Returned,FOB,2022,Q4,12,December,51,N,20
42,07-11-2024,P032,M09,C0238,50,33,10,29.7,1485,22.3,33115.5,649.6,32480,635.5,1.92,30,07-12-2024,24-12-2024,17,Overdue,Wayfair,Delivered,DDP,2024,Q4,11,November,45,N,111
43,27-03-2022,P036,M02,C0149,158,22,0,22,3476,22.7,78905.2,425.6,67244.8,11660.4,14.78,30,26-04-2022,26-05-2022,30,Overdue,Direct B2B,Delivered,FOB,2022,Q1,3,March,12,Y,65
44,28-11-2024,P003,M04,C0197,89,23,0,23,2047,61.8,126504.6,470.4,41865.6,84639,66.91,60,27-01-2025,27-01-2025,0,Paid On Time,Etsy,Returned,FOB,2024,Q4,11,November,48,N,134
45,13-10-2022,P012,M08,C0016,68,22,0,22,1496,89.7,134191.2,425.6,28940.8,105250.4,78.43,90,11-01-2023,28-01-2023,17,Overdue,Etsy,Delivered,DDP,2022,Q4,10,October,41,Y,119
46,09-01-2022,P002,M01,C0073,125,20,2,19.6,2450,83.5,204575,425.6,53200,151375,73.99,60,10-03-2022,24-03-2022,14,Paid Late,Direct B2B,Delivered,FOB,2022,Q1,1,January,1,Y,170
47,27-04-2023,P026,M04,C0230,128,56,3,54.32,6952.96,61.8,429692.93,1097.6,140492.8,289200.13,67.3,30,27-05-2023,02-06-2023,6,Paid Late,Wayfair,Delivered,CIF,2023,Q2,4,April,17,Y,78
48,25-01-2023,P039,M08,C0180,150,46,0,46,6900,89.7,618930,918.4,137760,481170,77.74,30,24-02-2023,14-03-2023,18,Overdue,Distributor,Cancelled,CIF,2023,Q1,1,January,4,Y,11
49,31-08-2023,P035,M03,C0113,399,17,3,16.49,6579.51,105.2,692164.45,336,134064,558100.45,80.63,60,30-10-2023,29-10-2023,-1,Paid On Time,Wayfair,Delivered,FOB,2023,Q3,8,August,35,Y,39
50,03-06-2024,P009,M07,C0088,203,19,0,19,3857,89.7,345972.9,380.8,77302.4,268670.5,77.66,15,18-06-2024,22-07-2024,34,Overdue,Noon,Shipped,CIF,2024,Q2,6,June,23,N,79
51,27-07-2024,P014,M02,C0012,210,24,0,24,5040,22.7,114408,470.4,98784,15624,13.66,45,10-09-2024,16-10-2024,36,Overdue,Trade Fair,Processing,FOB,2024,Q3,7,July,30,Y,16
52,16-03-2023,P020,M02,C0031,96,22,0,22,2112,22.7,47942.4,425.6,40857.6,7084.8,14.78,30,15-04-2023,15-05-2023,30,Overdue,Amazon,Delivered,FOB,2023,Q1,3,March,11,Y,173
53,22-04-2023,P008,M08,C0200,263,14,7,13.02,3424.26,89.7,307156.12,246.4,64803.2,242352.92,78.9,30,22-05-2023,29-05-2023,7,Paid Late,Wayfair,Shipped,CIF,2023,Q2,4,April,16,N,119
54,25-06-2022,P026,M06,C0155,76,56,5,53.2,4043.2,61.2,247443.84,1097.6,83417.6,164026.24,66.29,30,25-07-2022,06-08-2022,12,Paid Late,Noon,Delivered,CIF,2022,Q2,6,June,25,Y,138
55,19-02-2022,P009,M06,C0105,112,19,2,18.62,2085.44,61.2,127628.93,380.8,42649.6,84979.33,66.58,45,05-04-2022,03-04-2022,-2,Paid On Time,Amazon,Delivered,FOB,2022,Q1,2,February,7,Y,42
56,10-12-2023,P017,M07,C0014,50,16,0,16,800,89.7,71760,291.2,14560,57200,79.71,15,25-12-2023,24-01-2024,30,Overdue,Amazon,Delivered,DDP,2023,Q4,12,December,49,Y,99
57,12-03-2022,P002,M01,C0269,50,20,2,19.6,980,83.5,81830,425.6,21280,60550,73.99,60,11-05-2022,09-06-2022,29,Overdue,Amazon,Delivered,FOB,2022,Q1,3,March,10,N,87
58,15-03-2024,P009,M02,C0280,50,19,7,17.67,883.5,22.7,20055.45,380.8,19040,1015.45,5.06,15,30-03-2024,29-04-2024,30,Overdue,Distributor,Delivered,FOB,2024,Q1,3,March,11,N,14
59,31-08-2023,P001,M05,C0228,97,15,5,14.25,1382.25,54.3,75056.18,313.6,30419.2,44636.98,59.47,30,30-09-2023,04-10-2023,4,Paid Late,Etsy,Delivered,FOB,2023,Q3,8,August,35,N,21
60,22-08-2022,P002,M03,C0155,62,20,3,19.4,1202.8,105.2,126534.56,425.6,26387.2,100147.36,79.15,30,21-09-2022,26-10-2022,35,Overdue,Etsy,Delivered,FOB,2022,Q3,8,August,34,Y,36
61,31-08-2023,P022,M03,C0158,50,16,2,15.68,784,105.2,82476.8,313.6,15680,66796.8,80.99,45,15-10-2023,24-10-2023,9,Paid Late,Noon,Delivered,FOB,2023,Q3,8,August,35,N,69
62,05-08-2022,P027,M13,C0154,103,35,0,35,3605,4.5,16222.5,694.4,71523.2,-55300.7,0,60,04-10-2022,13-10-2022,9,Paid Late,Amazon,Delivered,CIF,2022,Q3,8,August,31,N,34
63,04-05-2023,P008,M08,C0167,60,14,15,11.9,714,89.7,64045.8,246.4,14784,49261.8,76.92,30,03-06-2023,29-05-2023,-5,Paid On Time,Amazon,Delivered,CIF,2023,Q2,5,May,18,Y,90
64,06-06-2024,P004,M01,C0036,50,18,0,18,900,83.5,75150,358.4,17920,57230,76.15,60,05-08-2024,12-09-2024,38,Overdue,Etsy,Delivered,DDP,2024,Q2,6,June,23,Y,126
65,02-06-2023,P002,M01,C0098,50,20,12,17.6,880,83.5,73480,425.6,21280,52200,71.04,30,02-07-2023,02-07-2023,0,Paid On Time,Wayfair,Delivered,FOB,2023,Q2,6,June,22,Y,100
66,25-06-2022,P040,M11,C0024,188,68,15,57.8,10866.4,50.2,545493.28,1344,252672,292821.28,53.68,15,10-07-2022,21-07-2022,11,Paid Late,Direct B2B,Delivered,FOB,2022,Q2,6,June,25,N,40
67,02-03-2024,P006,M08,C0107,118,16,5,15.2,1793.6,89.7,160885.92,291.2,34361.6,126524.32,78.64,30,01-04-2024,06-05-2024,35,Overdue,Etsy,Delivered,CIF,2024,Q1,3,March,9,N,119
68,09-08-2022,P027,M03,C0108,55,35,0,35,1925,105.2,202510,694.4,38192,164318,81.14,30,08-09-2022,09-09-2022,1,Paid Late,Direct B2B,Processing,CIF,2022,Q3,8,August,32,Y,4
69,21-03-2024,P032,M12,C0095,207,33,3,32.01,6626.07,18.8,124570.12,649.6,134467.2,-9897.08,0,45,05-05-2024,07-06-2024,33,Overdue,Direct B2B,Delivered,FOB,2024,Q1,3,March,12,Y,171
70,23-06-2023,P033,M02,C0237,102,24,5,22.8,2325.6,22.7,52791.12,470.4,47980.8,4810.32,9.11,90,21-09-2023,20-10-2023,29,Overdue,Direct B2B,Processing,FOB,2023,Q2,6,June,25,Y,30
71,22-05-2023,P037,M07,C0237,152,12,3,11.64,1769.28,89.7,158704.42,201.6,30643.2,128061.22,80.69,90,20-08-2023,05-09-2023,16,Overdue,Amazon,Processing,FOB,2023,Q2,5,May,21,N,160
72,06-08-2024,P037,M13,C0146,50,12,3,11.64,582,4.5,2619,201.6,10080,-7461,0,30,05-09-2024,18-09-2024,13,Paid Late,Etsy,Processing,CIF,2024,Q3,8,August,32,N,161
73,13-02-2024,P016,M05,C0140,61,16,0,16,976,54.3,52996.8,291.2,17763.2,35233.6,66.48,30,14-03-2024,12-04-2024,29,Overdue,Amazon,Shipped,CIF,2024,Q1,2,February,7,N,104
74,01-02-2022,P005,M02,C0252,148,26,5,24.7,3655.6,22.7,82982.12,537.6,79564.8,3417.32,4.12,60,02-04-2022,04-05-2022,32,Overdue,Direct B2B,Delivered,DDP,2022,Q1,2,February,5,N,172
75,30-11-2022,P013,M02,C0186,58,20,2,19.6,1136.8,22.7,25805.36,403.2,23385.6,2419.76,9.38,60,29-01-2023,06-03-2023,36,Overdue,Amazon,Delivered,FOB,2022,Q4,11,November,48,Y,148
76,29-08-2024,P019,M01,C0142,66,25,7,23.25,1534.5,83.5,128130.75,492.8,32524.8,95605.95,74.62,45,13-10-2024,04-11-2024,22,Overdue,Direct B2B,Delivered,CIF,2024,Q3,8,August,35,N,93
77,18-01-2022,P009,M02,C0094,50,19,2,18.62,931,22.7,21133.7,380.8,19040,2093.7,9.91,45,04-03-2022,30-03-2022,26,Overdue,Etsy,Delivered,FOB,2022,Q1,1,January,3,Y,174
78,07-09-2023,P027,M05,C0242,66,35,12,30.8,2032.8,54.3,110381.04,694.4,45830.4,64550.64,58.48,30,07-10-2023,07-10-2023,0,Paid On Time,Etsy,Delivered,CIF,2023,Q3,9,September,36,Y,178
79,07-03-2024,P039,M08,C0039,133,46,7,42.78,5689.74,89.7,510369.68,918.4,122147.2,388222.48,76.07,30,06-04-2024,03-04-2024,-3,Paid On Time,Etsy,Shipped,FOB,2024,Q1,3,March,10,N,64
80,23-11-2023,P006,M01,C0253,84,16,2,15.68,1317.12,83.5,109979.52,291.2,24460.8,85518.72,77.76,30,23-12-2023,24-01-2024,32,Overdue,Distributor,Delivered,CIF,2023,Q4,11,November,47,N,80
81,18-04-2024,P026,M02,C0287,356,56,0,56,19936,22.7,452547.2,1097.6,390745.6,61801.6,13.66,30,18-05-2024,16-05-2024,-2,Paid On Time,Etsy,Processing,FOB,2024,Q2,4,April,16,Y,146
82,04-03-2024,P014,M02,C0225,50,24,0,24,1200,22.7,27240,470.4,23520,3720,13.66,30,03-04-2024,24-04-2024,21,Overdue,Direct B2B,Delivered,CIF,2024,Q1,3,March,10,Y,151
83,25-01-2024,P013,M03,C0282,51,20,3,19.4,989.4,105.2,104084.88,403.2,20563.2,83521.68,80.24,90,24-04-2024,22-04-2024,-2,Paid On Time,Direct B2B,Delivered,FOB,2024,Q1,1,January,4,Y,36
84,02-07-2024,P007,M01,C0167,73,12,0,12,876,83.5,73146,201.6,14716.8,58429.2,79.88,30,01-08-2024,19-08-2024,18,Overdue,Etsy,Delivered,FOB,2024,Q3,7,July,27,Y,126
85,14-12-2023,P025,M07,C0262,427,30,7,27.9,11913.3,89.7,1068623.01,582.4,248684.8,819938.21,76.73,30,13-01-2024,04-02-2024,22,Overdue,Direct B2B,Delivered,FOB,2023,Q4,12,December,50,N,109
86,18-03-2023,P029,M09,C0129,123,22,0,22,2706,22.3,60343.8,425.6,52348.8,7995,13.25,30,17-04-2023,14-05-2023,27,Overdue,Wayfair,Delivered,FOB,2023,Q1,3,March,11,Y,70
87,14-06-2023,P007,M05,C0038,50,12,5,11.4,570,54.3,30951,201.6,10080,20871,67.43,45,29-07-2023,29-08-2023,31,Overdue,Etsy,Delivered,CIF,2023,Q2,6,June,24,Y,73
88,22-02-2024,P035,M01,C0065,87,17,2,16.66,1449.42,83.5,121026.57,336,29232,91794.57,75.85,30,23-03-2024,28-03-2024,5,Paid Late,Wayfair,Delivered,CIF,2024,Q1,2,February,8,Y,143
89,04-09-2024,P005,M01,C0033,71,26,0,26,1846,83.5,154141,537.6,38169.6,115971.4,75.24,60,03-11-2024,20-11-2024,17,Overdue,Amazon,Processing,FOB,2024,Q3,9,September,36,Y,25
90,08-11-2022,P002,M03,C0018,63,20,3,19.4,1222.2,105.2,128575.44,425.6,26812.8,101762.64,79.15,90,06-02-2023,21-02-2023,15,Paid Late,Direct B2B,Processing,FOB,2022,Q4,11,November,45,Y,123
91,09-01-2023,P038,M14,C0284,50,25,10,22.5,1125,0.56,630,492.8,24640,-24010,0,90,09-04-2023,17-04-2023,8,Paid Late,Direct B2B,Delivered,FOB,2023,Q1,1,January,2,N,131
92,01-11-2024,P040,M20,C0088,189,68,10,61.2,11566.8,89.7,1037541.96,1344,254016,783525.96,75.52,15,16-11-2024,29-11-2024,13,Paid Late,Wayfair,Delivered,FOB,2024,Q4,11,November,44,Y,6
93,12-10-2023,P029,M03,C0244,89,22,3,21.34,1899.26,105.2,199802.15,425.6,37878.4,161923.75,81.04,30,11-11-2023,22-11-2023,11,Paid Late,Wayfair,Delivered,DDP,2023,Q4,10,October,41,Y,108
94,31-07-2022,P010,M07,C0073,83,38,12,33.44,2775.52,89.7,248964.14,761.6,63212.8,185751.34,74.61,60,29-09-2022,12-10-2022,13,Paid Late,Etsy,Delivered,DDP,2022,Q3,7,July,30,N,116
95,29-12-2023,P033,M02,C0030,50,24,7,22.32,1116,22.7,25333.2,470.4,23520,1813.2,7.16,30,28-01-2024,03-02-2024,6,Paid Late,Amazon,Delivered,CIF,2023,Q4,12,December,52,N,156
96,24-12-2024,P013,M04,C0190,150,20,2,19.6,2940,61.8,181692,403.2,60480,121212,66.71,45,07-02-2025,25-02-2025,18,Pending,Etsy,Delivered,CIF,2024,Q4,12,December,52,Y,110
97,05-07-2024,P002,M11,C0119,122,20,2,19.6,2391.2,50.2,120038.24,425.6,51923.2,68115.04,56.74,30,04-08-2024,31-08-2024,27,Overdue,Direct B2B,Delivered,DDP,2024,Q3,7,July,27,Y,72
98,30-03-2024,P039,M03,C0056,50,46,10,41.4,2070,105.2,217764,918.4,45920,171844,78.91,15,14-04-2024,26-04-2024,12,Paid Late,Direct B2B,Delivered,FOB,2024,Q1,3,March,13,N,113
99,02-09-2022,P014,M09,C0036,50,24,10,21.6,1080,22.3,24084,470.4,23520,564,2.34,60,01-11-2022,14-11-2022,13,Paid Late,Amazon,Processing,DDP,2022,Q3,9,September,35,Y,98
100,03-09-2024,P028,M15,C0055,179,24,2,23.52,4210.08,89.7,377644.18,470.4,84201.6,293442.58,77.7,45,18-10-2024,13-11-2024,26,Overdue,Distributor,Shipped,CIF,2024,Q3,9,September,36,Y,57
101,16-08-2023,P013,M02,C0041,89,20,3,19.4,1726.6,22.7,39193.82,403.2,35884.8,3309.02,8.44,60,15-10-2023,26-10-2023,11,Paid Late,Trade Fair,Delivered,FOB,2023,Q3,8,August,33,N,6
102,18-09-2024,P015,M02,C0241,104,17,5,16.15,1679.6,22.7,38126.92,324.8,33779.2,4347.72,11.4,60,17-11-2024,22-11-2024,5,Paid Late,Etsy,Delivered,FOB,2024,Q3,9,September,38,Y,110
103,29-12-2022,P032,M08,C0120,145,33,2,32.34,4689.3,89.7,420630.21,649.6,94192,326438.21,77.61,60,27-02-2023,28-03-2023,29,Overdue,Direct B2B,Shipped,DDP,2022,Q4,12,December,52,Y,59
104,09-03-2022,P037,M06,C0042,92,12,5,11.4,1048.8,61.2,64186.56,201.6,18547.2,45639.36,71.1,15,24-03-2022,09-04-2022,16,Overdue,Etsy,Processing,FOB,2022,Q1,3,March,10,Y,24
105,18-06-2023,P025,M06,C0171,100,30,5,28.5,2850,61.2,174420,582.4,58240,116180,66.61,30,18-07-2023,02-08-2023,15,Paid Late,Wayfair,Delivered,CIF,2023,Q2,6,June,24,Y,56
106,06-11-2022,P022,M06,C0257,93,16,0,16,1488,61.2,91065.6,313.6,29164.8,61900.8,67.97,45,21-12-2022,02-01-2023,12,Paid Late,Amazon,Delivered,FOB,2022,Q4,11,November,44,Y,23
107,21-02-2024,P021,M07,C0043,145,18,2,17.64,2557.8,89.7,229434.66,358.4,51968,177466.66,77.35,90,21-05-2024,17-05-2024,-4,Paid On Time,Etsy,Delivered,DDP,2024,Q1,2,February,8,Y,1
108,25-11-2024,P020,M06,C0264,82,22,5,20.9,1713.8,61.2,104884.56,425.6,34899.2,69985.36,66.73,90,23-02-2025,18-03-2025,23,Pending,Direct B2B,Returned,CIF,2024,Q4,11,November,48,Y,20
109,24-01-2024,P032,M09,C0224,142,33,3,32.01,4545.42,22.3,101362.87,649.6,92243.2,9119.67,9,60,24-03-2024,16-04-2024,23,Overdue,Wayfair,Delivered,FOB,2024,Q1,1,January,4,Y,46
110,15-09-2024,P008,M12,C0070,50,14,2,13.72,686,18.8,12896.8,246.4,12320,576.8,4.47,30,15-10-2024,23-11-2024,39,Overdue,Direct B2B,Delivered,CIF,2024,Q3,9,September,37,N,147
111,21-05-2023,P005,M01,C0177,276,26,2,25.48,7032.48,83.5,587212.08,537.6,148377.6,438834.48,74.73,45,05-07-2023,05-08-2023,31,Overdue,Etsy,Shipped,CIF,2023,Q2,5,May,20,Y,3
112,02-05-2024,P002,M06,C0163,162,20,5,19,3078,61.2,188373.6,425.6,68947.2,119426.4,63.4,15,17-05-2024,17-06-2024,31,Overdue,Wayfair,Delivered,FOB,2024,Q2,5,May,18,Y,177
113,28-07-2024,P018,M02,C0223,50,13,10,11.7,585,22.7,13279.5,218.4,10920,2359.5,17.77,30,27-08-2024,14-09-2024,18,Overdue,Direct B2B,Delivered,FOB,2024,Q3,7,July,30,Y,122
114,15-02-2024,P026,M01,C0060,83,56,0,56,4648,83.5,388108,1097.6,91100.8,297007.2,76.53,15,01-03-2024,08-04-2024,38,Overdue,Amazon,Delivered,FOB,2024,Q1,2,February,7,N,145
115,26-07-2023,P012,M15,C0021,53,22,3,21.34,1131.02,89.7,101452.49,425.6,22556.8,78895.69,77.77,45,09-09-2023,17-10-2023,38,Overdue,Amazon,Delivered,FOB,2023,Q3,7,July,30,Y,169
116,27-11-2023,P006,M06,C0192,148,16,0,16,2368,61.2,144921.6,291.2,43097.6,101824,70.26,45,11-01-2024,15-01-2024,4,Paid Late,Amazon,Processing,FOB,2023,Q4,11,November,48,Y,60
117,03-02-2024,P011,M02,C0176,73,48,0,48,3504,22.7,79540.8,1030.4,75219.2,4321.6,5.43,30,04-03-2024,09-03-2024,5,Paid Late,Direct B2B,Processing,FOB,2024,Q1,2,February,5,N,60
118,20-10-2022,P006,M07,C0030,50,16,0,16,800,89.7,71760,291.2,14560,57200,79.71,30,19-11-2022,28-12-2022,39,Overdue,Amazon,Delivered,CIF,2022,Q4,10,October,42,Y,20
119,18-06-2024,P030,M01,C0212,71,15,12,13.2,937.2,83.5,78256.2,291.2,20675.2,57581,73.58,15,03-07-2024,11-07-2024,8,Paid Late,Amazon,Delivered,FOB,2024,Q2,6,June,25,Y,8
120,18-11-2024,P005,M14,C0152,113,26,2,25.48,2879.24,0.56,1612.37,537.6,60748.8,-59136.43,0,15,03-12-2024,25-12-2024,22,Overdue,Etsy,Delivered,FOB,2024,Q4,11,November,47,N,109
