return_id,order_id,product_id,market_id,customer_id,return_date,return_quantity,return_reason,return_type,refund_amount_usd,return_shipping_cost_usd,net_loss_usd,processing_status,days_to_return,is_first_return,return_month,return_year
49,245559,P020,M07,C0140,2023-07-15,21,Damaged in Transit,Full Return,452.76,39.89,492.65,Refund Processed,52,Y,7,2023
50,272729,P018,M06,C0104,2024-08-05,4,Damaged in Transit,Partial Return,52.0,4.05,56.05,Under Review,48,N,8,2024
51,373521,P013,M05,C0093,2023-11-13,4,Packaging Damaged,Partial Return,80.0,7.55,87.55,Refund Processed,13,Y,11,2023
52,230196,P027,M01,C0031,2022-05-19,4,Not As Described,Full Return,140.0,13.78,153.78,Replacement Sent,30,N,5,2022
53,496676,P027,M20,C0138,2022-06-30,9,Wrong Product Shipped,Full Return,315.0,28.24,343.24,Refund Processed,47,Y,6,2022
54,47558,P004,M09,C0034,2024-12-22,4,Packaging Damaged,Full Return,70.56,6.79,77.35,Pending Investigation,13,Y,12,2024
55,38929,P001,M04,C0101,2022-05-12,7,Damaged in Transit,Full Return,101.85,9.99,111.84,Replacement Sent,31,Y,5,2022
56,70430,P002,M03,C0072,2022-10-10,17,Wrong Product Shipped,Full Return,316.2,21.51,337.71,Pending Investigation,54,Y,10,2022
57,401196,P027,M04,C0088,2023-11-15,7,Customer Changed Mind,Full Return,245.0,13.78,258.78,Refund Processed,23,Y,11,2023
58,131245,P019,M01,C0098,2022-11-30,3,Not As Described,Full Return,73.5,3.57,77.07,Pending Investigation,27,N,11,2022
59,91947,P014,M01,C0041,2024-09-13,13,Packaging Damaged,Exchange,290.16,19.43,309.59,Refund Denied,35,N,9,2024
60,317916,P032,M01,C0187,2023-08-24,3,Customer Changed Mind,Full Return,94.05,7.98,102.03,Replacement Sent,36,Y,8,2023
61,313417,P029,M02,C0145,2022-03-07,19,Wrong Product Shipped,Full Return,388.74,21.16,409.9,Refund Processed,7,Y,3,2022
62,384882,P023,M11,C0218,2023-12-16,5,Customer Changed Mind,Partial Return,128.25,6.03,134.28,Pending Investigation,54,N,12,2023
63,447112,P040,M17,C0071,2024-03-15,13,Damaged in Transit,Full Return,857.48,77.67,935.15,Replacement Sent,14,Y,3,2024
64,181873,P023,M08,C0196,2022-05-08,4,Quality Below Expectation,Full Return,100.44,7.38,107.82,Refund Processed,25,Y,5,2022
65,394257,P019,M08,C0287,2022-01-20,6,Damaged in Transit,Partial Return,135.0,11.11,146.11,Replacement Sent,9,Y,1,2022
66,325025,P020,M03,C0221,2022-10-26,5,Damaged in Transit,Exchange,106.7,6.97,113.67,Refund Processed,32,Y,10,2022
67,68987,P038,M08,C0085,2022-11-08,9,Customer Changed Mind,Exchange,202.5,8.4,210.9,Refund Denied,28,Y,11,2022
68,203328,P023,M06,C0255,2022-01-30,11,Damaged in Transit,Full Return,297.0,19.59,316.59,Under Review,28,N,1,2022
69,160681,P004,M01,C0214,2023-02-01,4,Quality Below Expectation,Partial Return,72.0,3.77,75.77,Refund Processed,19,Y,2,2023
70,336896,P008,M09,C0202,2023-01-10,8,Wrong Product Shipped,Full Return,108.64,5.71,114.35,Refund Processed,14,Y,1,2023
71,153995,P009,M09,C0080,2024-01-03,7,Damaged in Transit,Partial Return,130.34,8.34,138.68,Refund Processed,37,Y,1,2024
72,494941,P019,M01,C0019,2023-02-06,6,Wrong Product Shipped,Exchange,147.0,11.18,158.18,Refund Denied,16,Y,2,2023
73,202637,P024,M01,C0238,2024-03-17,9,Customer Changed Mind,Full Return,273.6,24.8,298.4,Replacement Sent,35,N,3,2024
74,439784,P014,M07,C0229,2024-10-17,5,Damaged in Transit,Full Return,120.0,7.58,127.58,Refund Processed,31,Y,10,2024
75,223231,P032,M01,C0124,2024-12-16,23,Customer Changed Mind,Full Return,759.0,72.9,831.9,Refund Denied,18,N,12,2024
76,314374,P009,M01,C0130,2023-11-05,4,Not As Described,Partial Return,74.48,4.68,79.16,Refund Processed,29,Y,11,2023
77,57163,P017,M01,C0297,2022-05-14,5,Customer Changed Mind,Partial Return,74.4,3.5,77.9,Replacement Sent,42,N,5,2022
78,67662,P036,M05,C0022,2023-11-10,7,Customer Changed Mind,Full Return,154.0,8.21,162.21,Refund Processed,24,Y,11,2023
79,261446,P001,M17,C0043,2023-09-21,3,Damaged in Transit,Full Return,39.6,3.71,43.31,Under Review,39,Y,9,2023
80,72146,P028,M03,C0130,2025-01-07,23,Damaged in Transit,Full Return,524.4,22.82,547.22,Refund Processed,42,Y,1,2025
81,336193,P016,M03,C0172,2024-09-09,4,Customs Rejected,Full Return,62.72,3.18,65.9,Under Review,33,N,9,2024
82,374477,P029,M03,C0105,2022-10-12,8,Wrong Product Shipped,Exchange,172.48,8.27,180.75,Pending Investigation,37,Y,10,2022
83,196016,P013,M03,C0149,2024-07-20,8,Not As Described,Full Return,160.0,11.07,171.07,Replacement Sent,8,Y,7,2024
84,298146,P004,M05,C0057,2024-07-14,3,Damaged in Transit,Full Return,52.38,3.57,55.95,Refund Processed,29,Y,7,2024
85,434956,P016,M01,C0185,2023-09-26,9,Customer Changed Mind,Full Return,136.8,9.26,146.06,Refund Processed,54,N,9,2023
86,359822,P036,M06,C0187,2024-04-13,23,Customer Changed Mind,Full Return,490.82,39.55,530.37,Under Review,15,N,4,2024
87,32566,P017,M06,C0253,2023-05-31,4,Quality Below Expectation,Full Return,64.0,4.13,68.13,Refund Processed,44,Y,5,2023
88,331023,P038,M04,C0098,2022-06-30,4,Damaged in Transit,Partial Return,90.0,8.02,98.02,Replacement Sent,54,N,6,2022
89,412355,P036,M04,C0201,2022-05-29,6,Quality Below Expectation,Exchange,118.8,7.08,125.88,Refund Processed,21,N,5,2022
90,396598,P039,M01,C0142,2024-05-03,41,Quality Below Expectation,Full Return,1848.28,142.1,1990.38,Refund Processed,47,N,5,2024
91,8320,P024,M04,C0146,2024-09-07,5,Packaging Damaged,Full Return,160.0,15.17,175.17,Refund Processed,26,Y,9,2024
92,105011,P007,M17,C0031,2024-07-03,19,Quality Below Expectation,Partial Return,212.04,8.67,220.71,Refund Processed,14,N,7,2024
93,334673,P040,M01,C0276,2024-04-09,6,Quality Below Expectation,Full Return,399.84,21.16,421.0,Refund Processed,15,Y,4,2024
94,148657,P033,M13,C0042,2023-05-15,14,Quality Below Expectation,Partial Return,336.0,24.24,360.24,Refund Processed,30,Y,5,2023
95,311537,P014,M11,C0232,2022-08-13,6,Not As Described,Partial Return,144.0,11.96,155.96,Under Review,10,Y,8,2022
96,303164,P038,M02,C0205,2023-06-22,8,Damaged in Transit,Partial Return,196.0,18.23,214.23,Refund Processed,42,Y,6,2023
97,44753,P017,M04,C0161,2023-05-05,9,Quality Below Expectation,Full Return,136.8,13.55,150.35,Refund Processed,27,N,5,2023
98,249492,P018,M01,C0290,2024-10-23,4,Damaged in Transit,Exchange,52.0,2.34,54.34,Under Review,29,Y,10,2024
99,368705,P015,M18,C0112,2023-09-19,5,Customer Changed Mind,Full Return,72.25,6.54,78.79,Refund Processed,38,Y,9,2023
100,499841,P018,M09,C0065,2024-05-02,4,Quality Below Expectation,Partial Return,50.44,4.83,55.27,Refund Processed,35,Y,5,2024
101,356870,P016,M05,C0265,2024-12-29,11,Wrong Product Shipped,Partial Return,170.72,11.26,181.98,Replacement Sent,36,N,12,2024
102,223236,P016,M03,C0266,2023-11-27,3,Packaging Damaged,Full Return,47.04,2.26,49.3,Refund Processed,39,N,11,2023
103,94257,P011,M05,C0157,2023-03-05,14,Damaged in Transit,Exchange,651.84,64.36,716.2,Refund Denied,41,N,3,2023
104,61461,P036,M13,C0008,2023-02-20,4,Damaged in Transit,Partial Return,88.0,3.83,91.83,Refund Processed,41,Y,2,2023
105,38738,P012,M07,C0060,2025-01-20,19,Quality Below Expectation,Partial Return,388.74,32.04,420.78,Refund Processed,54,Y,1,2025
106,435978,P030,M02,C0120,2024-09-25,4,Damaged in Transit,Full Return,60.0,3.05,63.05,Replacement Sent,17,N,9,2024
107,364904,P009,M16,C0190,2022-01-26,5,Quality Below Expectation,Exchange,90.25,4.29,94.54,Replacement Sent,25,Y,1,2022
108,111013,P039,M06,C0036,2023-01-08,12,Not As Described,Full Return,552.0,46.73,598.73,Refund Processed,15,N,1,2023
109,299804,P033,M04,C0028,2023-12-06,4,Wrong Product Shipped,Full Return,94.08,5.39,99.47,Pending Investigation,11,Y,12,2023
110,265637,P019,M03,C0136,2022-09-16,3,Customs Rejected,Full Return,72.75,5.74,78.49,Refund Denied,30,Y,9,2022
111,238324,P015,M01,C0129,2023-12-06,13,Packaging Damaged,Full Return,216.58,9.91,226.49,Refund Denied,36,Y,12,2023
112,398204,P035,M01,C0092,2025-01-06,16,Customer Changed Mind,Full Return,263.84,20.57,284.41,Refund Denied,31,Y,1,2025
113,139576,P025,M04,C0095,2024-09-07,20,Quality Below Expectation,Partial Return,600.0,52.87,652.87,Refund Processed,44,Y,9,2024
114,200390,P032,M05,C0163,2022-02-02,4,Packaging Damaged,Full Return,125.4,7.13,132.53,Refund Processed,21,Y,2,2022
115,138488,P021,M07,C0288,2023-01-28,11,Quality Below Expectation,Full Return,198.0,14.34,212.34,Under Review,21,Y,1,2023
116,52962,P027,M02,C0290,2022-07-15,7,Wrong Product Shipped,Full Return,245.0,16.39,261.39,Refund Processed,21,N,7,2022
117,337096,P010,M02,C0058,2023-02-27,18,Wrong Product Shipped,Full Return,684.0,31.22,715.22,Refund Processed,54,N,2,2023
118,407506,P036,M01,C0271,2024-03-12,6,Customer Changed Mind,Partial Return,132.0,10.71,142.71,Under Review,8,Y,3,2024
119,257824,P026,M01,C0063,2022-02-05,3,Packaging Damaged,Partial Return,159.6,12.58,172.18,Refund Processed,10,Y,2,2022
120,456567,P040,M07,C0159,2023-04-19,30,Customer Changed Mind,Full Return,1978.8,85.09,2063.89,Under Review,44,Y,4,2023
121,80706,P005,M01,C0098,2022-10-04,4,Quality Below Expectation,Full Return,104.0,8.25,112.25,Refund Processed,52,N,10,2022
122,414847,P004,M07,C0017,2024-02-15,12,Packaging Damaged,Exchange,216.0,12.45,228.45,Replacement Sent,53,Y,2,2024
123,459973,P032,M03,C0205,2023-02-07,31,Damaged in Transit,Full Return,1023.0,66.29,1089.29,Refund Processed,11,Y,2,2023
124,17432,P023,M13,C0295,2023-06-26,7,Damaged in Transit,Partial Return,183.33,15.03,198.36,Refund Processed,12,Y,6,2023
125,488316,P013,M03,C0269,2024-08-20,8,Customer Changed Mind,Partial Return,156.8,8.77,165.57,Refund Processed,36,Y,8,2024
126,358081,P036,M12,C0158,2024-01-06,3,Wrong Product Shipped,Full Return,66.0,4.3,70.3,Under Review,17,Y,1,2024
127,223859,P026,M01,C0125,2023-11-28,7,Customs Rejected,Full Return,392.0,20.05,412.05,Refund Processed,19,N,11,2023
128,142996,P018,M04,C0101,2022-09-01,25,Wrong Product Shipped,Full Return,276.25,26.9,303.15,Under Review,31,Y,9,2022
129,126614,P019,M10,C0173,2023-10-01,13,Customs Rejected,Full Return,325.0,15.23,340.23,Replacement Sent,33,Y,10,2023
130,187229,P005,M07,C0295,2022-03-30,3,Customer Changed Mind,Exchange,75.66,7.47,83.13,Refund Processed,33,Y,3,2022
131,297759,P029,M04,C0138,2024-02-17,3,Quality Below Expectation,Exchange,66.0,5.64,71.64,Pending Investigation,13,Y,2,2024
132,446550,P019,M03,C0288,2023-09-12,9,Wrong Product Shipped,Full Return,213.75,9.73,223.48,Refund Processed,15,N,9,2023
133,74920,P035,M19,C0060,2022-10-14,6,Packaging Damaged,Partial Return,96.9,8.04,104.94,Refund Processed,15,N,10,2022
134,378215,P006,M10,C0149,2022-05-03,12,Packaging Damaged,Full Return,192.0,16.89,208.89,Refund Processed,32,Y,5,2022
135,146201,P024,M14,C0066,2024-04-06,14,Customer Changed Mind,Partial Return,439.04,38.34,477.38,Refund Processed,32,Y,4,2024
136,76603,P023,M06,C0112,2022-04-17,6,Customer Changed Mind,Full Return,158.76,7.68,166.44,Refund Processed,41,N,4,2022
137,342435,P020,M01,C0296,2024-01-19,9,Damaged in Transit,Partial Return,198.0,16.39,214.39,Refund Processed,25,N,1,2024
138,301639,P040,M09,C0059,2022-03-12,4,Wrong Product Shipped,Partial Return,272.0,25.11,297.11,Refund Denied,50,N,3,2022
139,238039,P032,M08,C0125,2024-04-05,14,Quality Below Expectation,Full Return,448.14,40.94,489.08,Under Review,36,Y,4,2024
140,486091,P023,M03,C0187,2023-01-01,4,Damaged in Transit,Partial Return,100.44,5.37,105.81,Refund Processed,41,Y,1,2023
141,491332,P017,M18,C0241,2025-01-23,22,Customer Changed Mind,Full Return,327.36,25.77,353.13,Pending Investigation,37,Y,1,2025
142,1559,P031,M17,C0166,2023-01-25,6,Damaged in Transit,Partial Return,119.7,8.04,127.74,Replacement Sent,36,Y,1,2023
143,300005,P008,M09,C0114,2024-05-21,15,Customer Changed Mind,Partial Return,205.8,10.16,215.96,Pending Investigation,53,Y,5,2024
144,397786,P010,M04,C0089,2022-10-31,9,Packaging Damaged,Partial Return,324.9,14.91,339.81,Refund Processed,11,N,10,2022
145,291706,P028,M02,C0002,2024-12-20,8,Damaged in Transit,Exchange,186.24,16.99,203.23,Replacement Sent,41,Y,12,2024
146,469440,P031,M01,C0006,2024-10-20,3,Customer Changed Mind,Full Return,56.7,5.5,62.2,Replacement Sent,9,Y,10,2024
147,295449,P003,M17,C0060,2023-03-23,6,Customer Changed Mind,Full Return,135.24,5.65,140.89,Refund Processed,28,N,3,2023
148,381713,P039,M16,C0203,2023-05-06,14,Damaged in Transit,Full Return,644.0,28.18,672.18,Replacement Sent,16,N,5,2023
149,390214,P037,M01,C0094,2023-05-25,27,Quality Below Expectation,Full Return,291.6,28.69,320.29,Refund Processed,13,Y,5,2023
150,8513,P008,M11,C0215,2022-05-26,7,Customs Rejected,Partial Return,86.24,5.09,91.33,Under Review,9,N,5,2022
151,223793,P014,M02,C0056,2023-01-26,7,Quality Below Expectation,Full Return,156.24,11.67,167.91,Refund Processed,52,Y,1,2023
152,308580,P021,M19,C0226,2023-05-04,3,Customs Rejected,Full Return,52.92,3.53,56.45,Refund Denied,32,N,5,2023
153,491360,P038,M02,C0036,2022-11-07,5,Not As Described,Partial Return,116.25,10.06,126.31,Refund Processed,54,Y,11,2022
154,490402,P024,M02,C0021,2022-03-07,4,Customer Changed Mind,Partial Return,121.6,4.9,126.5,Refund Processed,45,Y,3,2022
155,140212,P011,M01,C0022,2024-09-14,4,Customer Changed Mind,Partial Return,192.0,9.45,201.45,Pending Investigation,51,Y,9,2024
156,446456,P006,M09,C0283,2023-12-05,4,Damaged in Transit,Full Return,54.4,4.08,58.48,Refund Processed,14,N,12,2023
157,431035,P001,M01,C0091,2023-10-12,7,Wrong Product Shipped,Full Return,105.0,6.19,111.19,Replacement Sent,18,N,10,2023
158,19561,P019,M03,C0268,2024-09-07,3,Damaged in Transit,Partial Return,67.5,5.45,72.95,Refund Processed,49,N,9,2024
159,400442,P037,M04,C0164,2022-07-22,15,Packaging Damaged,Full Return,174.6,9.11,183.71,Refund Processed,43,Y,7,2022
160,381862,P013,M06,C0040,2023-11-16,10,Wrong Product Shipped,Full Return,194.0,11.78,205.78,Refund Processed,29,Y,11,2023
161,356975,P040,M07,C0028,2023-12-13,23,Wrong Product Shipped,Exchange,1532.72,78.48,1611.2,Refund Processed,9,Y,12,2023
162,115251,P018,M11,C0210,2024-06-16,8,Wrong Product Shipped,Full Return,104.0,6.34,110.34,Pending Investigation,20,Y,6,2024
163,415551,P035,M07,C0247,2023-12-17,18,Wrong Product Shipped,Full Return,275.4,23.87,299.27,Replacement Sent,54,Y,12,2023
164,82039,P034,M01,C0137,2024-05-20,3,Customs Rejected,Exchange,52.38,5.11,57.49,Refund Processed,11,Y,5,2024
165,318023,P015,M02,C0237,2023-02-25,9,Damaged in Transit,Partial Return,153.0,13.7,166.7,Pending Investigation,53,Y,2,2023
166,11135,P028,M04,C0226,2022-09-10,18,Quality Below Expectation,Partial Return,423.36,39.03,462.39,Replacement Sent,43,Y,9,2022
167,463767,P019,M02,C0199,2024-04-14,14,Customer Changed Mind,Exchange,343.0,27.75,370.75,Refund Denied,33,N,4,2024
168,4437,P027,M05,C0163,2024-10-23,3,Packaging Damaged,Exchange,99.75,5.27,105.02,Refund Processed,29,Y,10,2024
169,448954,P029,M02,C0106,2023-10-11,14,Wrong Product Shipped,Partial Return,308.0,13.79,321.79,Refund Processed,12,N,10,2023
170,68828,P007,M02,C0180,2023-09-23,4,Wrong Product Shipped,Full Return,45.6,2.04,47.64,Refund Processed,44,Y,9,2023
171,427850,P005,M07,C0170,2024-09-12,9,Customer Changed Mind,Exchange,222.3,15.93,238.23,Pending Investigation,23,N,9,2024
172,434827,P003,M02,C0031,2024-06-16,4,Quality Below Expectation,Full Return,92.0,6.96,98.96,Refund Processed,16,Y,6,2024
173,260500,P026,M02,C0221,2024-01-27,9,Damaged in Transit,Full Return,468.72,34.39,503.11,Pending Investigation,38,Y,1,2024
174,418539,P040,M04,C0113,2023-08-27,3,Wrong Product Shipped,Full Return,199.92,15.9,215.82,Pending Investigation,29,Y,8,2023
175,281092,P023,M03,C0069,2024-06-04,5,Damaged in Transit,Partial Return,135.0,11.24,146.24,Refund Processed,49,N,6,2024
176,43200,P037,M02,C0096,2023-01-23,6,Wrong Product Shipped,Full Return,70.56,5.24,75.8,Replacement Sent,28,Y,1,2023
177,232069,P013,M03,C0225,2023-10-29,5,Packaging Damaged,Partial Return,100.0,5.05,105.05,Replacement Sent,44,Y,10,2023
178,252154,P033,M10,C0199,2022-04-13,14,Damaged in Transit,Full Return,336.0,19.6,355.6,Refund Processed,45,N,4,2022
179,448550,P027,M12,C0171,2024-05-08,4,Quality Below Expectation,Full Return,140.0,9.26,149.26,Refund Processed,27,Y,5,2024
180,128077,P004,M01,C0227,2023-03-13,10,Damaged in Transit,Exchange,180.0,13.73,193.73,Refund Denied,18,N,3,2023
181,332515,P038,M02,C0213,2022-08-26,9,Quality Below Expectation,Full Return,213.75,19.28,233.03,Pending Investigation,47,Y,8,2022
182,325077,P040,M01,C0300,2022-06-03,4,Quality Below Expectation,Exchange,266.56,13.13,279.69,Under Review,35,Y,6,2022
183,33291,P033,M06,C0119,2023-10-09,12,Customer Changed Mind,Full Return,288.0,14.24,302.24,Refund Processed,45,Y,10,2023
184,47765,P003,M01,C0227,2023-02-23,7,Customer Changed Mind,Partial Return,156.17,13.13,169.3,Under Review,24,Y,2,2023
185,212262,P018,M01,C0145,2023-11-15,14,Damaged in Transit,Full Return,176.54,17.0,193.54,Under Review,49,N,11,2023
186,110979,P012,M02,C0129,2023-09-30,4,Quality Below Expectation,Full Return,81.84,5.8,87.64,Replacement Sent,39,Y,9,2023
187,217689,P005,M01,C0172,2024-02-23,3,Customer Changed Mind,Exchange,78.0,5.24,83.24,Refund Processed,49,Y,2,2024
188,289967,P034,M02,C0184,2023-02-07,15,Not As Described,Exchange,261.9,25.58,287.48,Pending Investigation,51,Y,2,2023
189,472973,P031,M17,C0284,2024-01-31,10,Packaging Damaged,Partial Return,184.8,9.01,193.81,Refund Processed,30,Y,1,2024
190,117774,P027,M06,C0040,2022-07-29,7,Not As Described,Full Return,220.5,15.87,236.37,Refund Processed,22,Y,7,2022
191,382532,P011,M09,C0174,2023-09-09,7,Customs Rejected,Full Return,325.92,30.53,356.45,Under Review,25,Y,9,2023
192,259906,P011,M01,C0120,2023-03-26,7,Damaged in Transit,Full Return,329.28,14.84,344.12,Replacement Sent,33,Y,3,2023
193,11000,P001,M09,C0268,2023-07-06,6,Damaged in Transit,Full Return,83.7,5.63,89.33,Refund Processed,35,Y,7,2023
194,249986,P038,M09,C0272,2023-01-26,3,Quality Below Expectation,Partial Return,69.75,3.38,73.13,Refund Processed,44,Y,1,2023
195,292484,P008,M02,C0008,2024-11-25,5,Wrong Product Shipped,Partial Return,70.0,3.52,73.52,Replacement Sent,14,N,11,2024
196,482514,P026,M01,C0017,2023-10-14,6,Damaged in Transit,Exchange,295.68,16.95,312.63,Pending Investigation,32,Y,10,2023
197,206660,P029,M01,C0179,2023-07-31,13,Customs Rejected,Exchange,286.0,20.9,306.9,Refund Processed,15,Y,7,2023
198,494686,P030,M05,C0013,2022-07-02,14,Quality Below Expectation,Full Return,189.0,8.98,197.98,Pending Investigation,46,N,7,2022
199,284550,P032,M01,C0269,2024-01-13,13,Wrong Product Shipped,Partial Return,398.97,31.42,430.39,Replacement Sent,17,N,1,2024
200,163727,P012,M05,C0267,2023-02-05,3,Quality Below Expectation,Partial Return,62.7,3.99,66.69,Under Review,11,Y,2,2023
201,67637,P015,M05,C0028,2024-03-15,12,Customer Changed Mind,Full Return,197.88,14.8,212.68,Refund Processed,16,N,3,2024
202,264284,P004,M02,C0084,2022-08-30,7,Damaged in Transit,Partial Return,122.22,10.86,133.08,Pending Investigation,42,Y,8,2022
203,169763,P028,M01,C0112,2024-06-14,4,Wrong Product Shipped,Exchange,86.4,6.11,92.51,Refund Processed,40,Y,6,2024
204,198409,P010,M09,C0264,2022-10-26,7,Quality Below Expectation,Full Return,266.0,15.37,281.37,Refund Processed,25,Y,10,2022
