date,currency_code,currency_pair,rate_to_inr,daily_change_pct,month,year,quarter
2022-01-29,USD,USD/INR,85.2639,-0.0117,1,2022,Q1
2022-01-30,USD,USD/INR,85.157,-0.1254,1,2022,Q1
2022-01-31,USD,USD/INR,84.6394,-0.6077,1,2022,Q1
2022-02-01,USD,USD/INR,84.3675,-0.3213,2,2022,Q1
2022-02-02,USD,USD/INR,84.8513,0.5734,2,2022,Q1
2022-02-03,USD,USD/INR,84.5254,-0.3841,2,2022,Q1
2022-02-04,USD,USD/INR,84.5734,0.0568,2,2022,Q1
2022-02-05,USD,USD/INR,84.829,0.3022,2,2022,Q1
2022-02-06,USD,USD/INR,84.5097,-0.3765,2,2022,Q1
2022-02-07,USD,USD/INR,84.5565,0.0554,2,2022,Q1
2022-02-08,USD,USD/INR,84.7944,0.2814,2,2022,Q1
2022-02-09,USD,USD/INR,84.7976,0.0037,2,2022,Q1
2022-02-10,USD,USD/INR,85.5273,0.8605,2,2022,Q1
2022-02-11,USD,USD/INR,85.0992,-0.5006,2,2022,Q1
2022-02-12,USD,USD/INR,85.3694,0.3176,2,2022,Q1
2022-02-13,USD,USD/INR,85.3252,-0.0518,2,2022,Q1
2022-02-14,USD,USD/INR,85.5228,0.2316,2,2022,Q1
2022-02-15,USD,USD/INR,85.636,0.1324,2,2022,Q1
2022-02-16,USD,USD/INR,85.4477,-0.2199,2,2022,Q1
2022-02-17,USD,USD/INR,85.5064,0.0687,2,2022,Q1
2022-02-18,USD,USD/INR,85.0298,-0.5574,2,2022,Q1
2022-02-19,USD,USD/INR,85.1836,0.181,2,2022,Q1
2022-02-20,USD,USD/INR,85.2598,0.0894,2,2022,Q1
2022-02-21,USD,USD/INR,85.4232,0.1916,2,2022,Q1
2022-02-22,USD,USD/INR,85.6944,0.3174,2,2022,Q1
2022-02-23,USD,USD/INR,85.7889,0.1103,2,2022,Q1
2022-02-24,USD,USD/INR,85.827,0.0444,2,2022,Q1
2022-02-25,USD,USD/INR,85.6001,-0.2643,2,2022,Q1
2022-02-26,USD,USD/INR,85.4172,-0.2137,2,2022,Q1
2022-02-27,USD,USD/INR,85.7213,0.356,2,2022,Q1
2022-02-28,USD,USD/INR,86.0907,0.4309,2,2022,Q1
2022-03-01,USD,USD/INR,86.0292,-0.0714,3,2022,Q1
2022-03-02,USD,USD/INR,86.0411,0.0138,3,2022,Q1
2022-03-03,USD,USD/INR,85.8076,-0.2714,3,2022,Q1
2022-03-04,USD,USD/INR,86.1095,0.3518,3,2022,Q1
2022-03-05,USD,USD/INR,86.2814,0.1996,3,2022,Q1
2022-03-06,USD,USD/INR,86.7838,0.5824,3,2022,Q1
2022-03-07,USD,USD/INR,86.5552,-0.2635,3,2022,Q1
2022-03-08,USD,USD/INR,86.457,-0.1134,3,2022,Q1
2022-03-09,USD,USD/INR,86.517,0.0694,3,2022,Q1
2022-03-10,USD,USD/INR,86.6848,0.1939,3,2022,Q1
2022-03-11,USD,USD/INR,86.6288,-0.0647,3,2022,Q1
2022-03-12,USD,USD/INR,86.4019,-0.2619,3,2022,Q1
2022-03-13,USD,USD/INR,86.6304,0.2644,3,2022,Q1
2022-03-14,USD,USD/INR,86.8178,0.2163,3,2022,Q1
2022-03-15,USD,USD/INR,86.5791,-0.2749,3,2022,Q1
2022-03-16,USD,USD/INR,86.9312,0.4066,3,2022,Q1
2022-03-17,USD,USD/INR,87.2364,0.3511,3,2022,Q1
2022-03-18,USD,USD/INR,87.2715,0.0403,3,2022,Q1
2022-03-19,USD,USD/INR,87.2923,0.0239,3,2022,Q1
2022-03-20,USD,USD/INR,87.4374,0.1662,3,2022,Q1
2022-03-21,USD,USD/INR,87.2114,-0.2585,3,2022,Q1
2022-03-22,USD,USD/INR,87.2193,0.009,3,2022,Q1
2022-03-23,USD,USD/INR,86.6561,-0.6457,3,2022,Q1
2022-03-24,USD,USD/INR,86.8839,0.2629,3,2022,Q1
2022-03-25,USD,USD/INR,86.4769,-0.4684,3,2022,Q1
2022-03-26,USD,USD/INR,86.867,0.451,3,2022,Q1
2022-03-27,USD,USD/INR,86.7809,-0.099,3,2022,Q1
2022-03-28,USD,USD/INR,86.7258,-0.0635,3,2022,Q1
2022-03-29,USD,USD/INR,86.5625,-0.1883,3,2022,Q1
2022-03-30,USD,USD/INR,86.4877,-0.0864,3,2022,Q1
2022-03-31,USD,USD/INR,86.8558,0.4256,3,2022,Q1
2022-04-01,USD,USD/INR,86.2075,-0.7463,4,2022,Q2
2022-04-02,USD,USD/INR,86.5378,0.3831,4,2022,Q2
2022-04-03,USD,USD/INR,86.6255,0.1014,4,2022,Q2
2022-04-04,USD,USD/INR,86.3118,-0.3621,4,2022,Q2
2022-04-05,USD,USD/INR,86.0334,-0.3226,4,2022,Q2
2022-04-06,USD,USD/INR,86.4661,0.5029,4,2022,Q2
2022-04-07,USD,USD/INR,86.2208,-0.2837,4,2022,Q2
2022-04-08,USD,USD/INR,85.9225,-0.346,4,2022,Q2
2022-04-09,USD,USD/INR,86.2157,0.3412,4,2022,Q2
2022-04-10,USD,USD/INR,86.3032,0.1016,4,2022,Q2
2022-04-11,USD,USD/INR,86.0604,-0.2814,4,2022,Q2
2022-04-12,USD,USD/INR,86.1163,0.065,4,2022,Q2
2022-04-13,USD,USD/INR,85.8513,-0.3077,4,2022,Q2
2022-04-14,USD,USD/INR,86.1348,0.3302,4,2022,Q2
2022-04-15,USD,USD/INR,86.4091,0.3184,4,2022,Q2
2022-04-16,USD,USD/INR,86.547,0.1596,4,2022,Q2
2022-04-17,USD,USD/INR,86.6409,0.1085,4,2022,Q2
2022-04-18,USD,USD/INR,87.0987,0.5284,4,2022,Q2
2022-04-19,USD,USD/INR,87.0986,-0.0001,4,2022,Q2
2022-04-20,USD,USD/INR,86.7898,-0.3546,4,2022,Q2
2022-04-21,USD,USD/INR,86.9068,0.1348,4,2022,Q2
2022-04-22,USD,USD/INR,87.4507,0.6258,4,2022,Q2
2022-04-23,USD,USD/INR,87.1845,-0.3044,4,2022,Q2
2022-04-24,USD,USD/INR,87.0899,-0.1084,4,2022,Q2
2022-04-25,USD,USD/INR,87.1987,0.1249,4,2022,Q2
2022-04-26,USD,USD/INR,87.1846,-0.0162,4,2022,Q2
2022-04-27,USD,USD/INR,86.9277,-0.2947,4,2022,Q2
2022-04-28,USD,USD/INR,87.2203,0.3366,4,2022,Q2
2022-04-29,USD,USD/INR,87.8273,0.696,4,2022,Q2
2022-04-30,USD,USD/INR,87.879,0.0588,4,2022,Q2
2022-05-01,USD,USD/INR,87.6406,-0.2712,5,2022,Q2
2022-05-02,USD,USD/INR,87.2334,-0.4647,5,2022,Q2
2022-05-03,USD,USD/INR,87.3009,0.0774,5,2022,Q2
2022-05-04,USD,USD/INR,87.59,0.3312,5,2022,Q2
2022-05-05,USD,USD/INR,87.7149,0.1426,5,2022,Q2
2022-05-06,USD,USD/INR,87.7142,-0.0007,5,2022,Q2
2022-05-07,USD,USD/INR,87.5592,-0.1768,5,2022,Q2
2022-05-08,USD,USD/INR,87.2723,-0.3276,5,2022,Q2
2022-05-09,USD,USD/INR,87.4908,0.2504,5,2022,Q2
2022-05-10,USD,USD/INR,87.7307,0.2741,5,2022,Q2
2022-05-11,USD,USD/INR,87.3239,-0.4637,5,2022,Q2
2022-05-12,USD,USD/INR,87.7404,0.477,5,2022,Q2
2022-05-13,USD,USD/INR,87.8915,0.1722,5,2022,Q2
2022-05-14,USD,USD/INR,88.2605,0.4199,5,2022,Q2
2022-05-15,USD,USD/INR,87.9051,-0.4026,5,2022,Q2
2022-05-16,USD,USD/INR,87.5449,-0.4097,5,2022,Q2
2022-05-17,USD,USD/INR,87.5058,-0.0447,5,2022,Q2
2022-05-18,USD,USD/INR,87.6378,0.1508,5,2022,Q2
2022-05-19,USD,USD/INR,88.1101,0.5389,5,2022,Q2
2022-05-20,USD,USD/INR,88.2967,0.2118,5,2022,Q2
2022-05-21,USD,USD/INR,88.2324,-0.0728,5,2022,Q2
2022-05-22,USD,USD/INR,87.9608,-0.3079,5,2022,Q2
2022-05-23,USD,USD/INR,88.2853,0.369,5,2022,Q2
2022-05-24,USD,USD/INR,88.0298,-0.2894,5,2022,Q2
2022-05-25,USD,USD/INR,88.4599,0.4885,5,2022,Q2
2022-05-26,USD,USD/INR,88.3844,-0.0853,5,2022,Q2
2022-05-27,USD,USD/INR,88.8062,0.4772,5,2022,Q2
2022-05-28,USD,USD/INR,88.9871,0.2037,5,2022,Q2
2022-05-29,USD,USD/INR,88.9505,-0.0411,5,2022,Q2
2022-05-30,USD,USD/INR,88.8119,-0.1558,5,2022,Q2
2022-05-31,USD,USD/INR,88.7211,-0.1023,5,2022,Q2
2022-06-01,USD,USD/INR,88.8351,0.1285,6,2022,Q2
2022-06-02,USD,USD/INR,88.8556,0.0231,6,2022,Q2
2022-06-03,USD,USD/INR,88.6973,-0.1781,6,2022,Q2
2022-06-04,USD,USD/INR,88.6533,-0.0497,6,2022,Q2
2022-06-05,USD,USD/INR,88.6742,0.0236,6,2022,Q2
2022-06-06,USD,USD/INR,88.1079,-0.6386,6,2022,Q2
2022-06-07,USD,USD/INR,88.229,0.1375,6,2022,Q2
2022-06-08,USD,USD/INR,87.9696,-0.2939,6,2022,Q2
2022-06-09,USD,USD/INR,87.6653,-0.346,6,2022,Q2
2022-06-10,USD,USD/INR,87.2215,-0.5062,6,2022,Q2
2022-06-11,USD,USD/INR,86.7521,-0.5382,6,2022,Q2
2022-06-12,USD,USD/INR,86.3993,-0.4066,6,2022,Q2
2022-06-13,USD,USD/INR,86.2156,-0.2127,6,2022,Q2
2022-06-14,USD,USD/INR,86.7208,0.586,6,2022,Q2
2022-06-15,USD,USD/INR,86.584,-0.1578,6,2022,Q2
2022-06-16,USD,USD/INR,86.6301,0.0533,6,2022,Q2
2022-06-17,USD,USD/INR,86.7342,0.1201,6,2022,Q2
2022-06-18,USD,USD/INR,86.7683,0.0393,6,2022,Q2
2022-06-19,USD,USD/INR,86.7482,-0.0232,6,2022,Q2
2022-06-20,USD,USD/INR,86.4371,-0.3586,6,2022,Q2
2022-06-21,USD,USD/INR,86.8133,0.4353,6,2022,Q2
2022-06-22,USD,USD/INR,87.284,0.5422,6,2022,Q2
2022-06-23,USD,USD/INR,86.8434,-0.5048,6,2022,Q2
2022-06-24,USD,USD/INR,86.5766,-0.3072,6,2022,Q2
2022-06-25,USD,USD/INR,86.5039,-0.0839,6,2022,Q2
2022-06-26,USD,USD/INR,86.2536,-0.2894,6,2022,Q2
2022-06-27,USD,USD/INR,86.3845,0.1518,6,2022,Q2
2022-06-28,USD,USD/INR,86.1958,-0.2185,6,2022,Q2
2022-06-29,USD,USD/INR,86.7557,0.6495,6,2022,Q2
2022-06-30,USD,USD/INR,87.0655,0.3572,6,2022,Q2
2022-07-01,USD,USD/INR,87.121,0.0638,7,2022,Q3
2022-07-02,USD,USD/INR,87.3895,0.3081,7,2022,Q3
2022-07-03,USD,USD/INR,87.6794,0.3318,7,2022,Q3
2022-07-04,USD,USD/INR,87.531,-0.1692,7,2022,Q3
2022-07-05,USD,USD/INR,87.3167,-0.2449,7,2022,Q3
2022-07-06,USD,USD/INR,87.3372,0.0234,7,2022,Q3
2022-07-07,USD,USD/INR,87.5629,0.2585,7,2022,Q3
2022-07-08,USD,USD/INR,87.5995,0.0417,7,2022,Q3
2022-07-09,USD,USD/INR,87.185,-0.4731,7,2022,Q3
2022-07-10,USD,USD/INR,86.9751,-0.2408,7,2022,Q3
2022-07-11,USD,USD/INR,86.9558,-0.0222,7,2022,Q3
2022-07-12,USD,USD/INR,86.936,-0.0227,7,2022,Q3
2022-07-13,USD,USD/INR,87.4505,0.5918,7,2022,Q3
2022-07-14,USD,USD/INR,87.0869,-0.4158,7,2022,Q3
2022-07-15,USD,USD/INR,87.2189,0.1517,7,2022,Q3
2022-07-16,USD,USD/INR,87.6086,0.4467,7,2022,Q3
2022-07-17,USD,USD/INR,88.2056,0.6814,7,2022,Q3
2022-07-18,USD,USD/INR,88.0986,-0.1213,7,2022,Q3
2022-07-19,USD,USD/INR,88.2285,0.1474,7,2022,Q3
2022-07-20,USD,USD/INR,88.3793,0.1709,7,2022,Q3
2022-07-21,USD,USD/INR,88.4311,0.0586,7,2022,Q3
2022-07-22,USD,USD/INR,88.4049,-0.0297,7,2022,Q3
2022-07-23,USD,USD/INR,88.5205,0.1308,7,2022,Q3
2022-07-24,USD,USD/INR,87.848,-0.7597,7,2022,Q3
2022-07-25,USD,USD/INR,88.0278,0.2046,7,2022,Q3
2022-07-26,USD,USD/INR,88.0611,0.0379,7,2022,Q3
2022-07-27,USD,USD/INR,88.0023,-0.0667,7,2022,Q3
2022-07-28,USD,USD/INR,88.5427,0.6141,7,2022,Q3
2022-07-29,USD,USD/INR,88.3634,-0.2025,7,2022,Q3
2022-07-30,USD,USD/INR,88.2566,-0.1209,7,2022,Q3
2022-07-31,USD,USD/INR,88.7839,0.5975,7,2022,Q3
2022-08-01,USD,USD/INR,88.5623,-0.2496,8,2022,Q3
2022-08-02,USD,USD/INR,88.4161,-0.165,8,2022,Q3
2022-08-03,USD,USD/INR,88.3771,-0.0441,8,2022,Q3
2022-08-04,USD,USD/INR,88.6,0.2522,8,2022,Q3
2022-08-05,USD,USD/INR,88.6552,0.0623,8,2022,Q3
2022-08-06,USD,USD/INR,88.3115,-0.3878,8,2022,Q3
2022-08-07,USD,USD/INR,88.1705,-0.1597,8,2022,Q3
2022-08-08,USD,USD/INR,88.0098,-0.1822,8,2022,Q3
2022-08-09,USD,USD/INR,87.9894,-0.0232,8,2022,Q3
2022-08-10,USD,USD/INR,88.1018,0.1278,8,2022,Q3
2022-08-11,USD,USD/INR,88.2124,0.1255,8,2022,Q3
2022-08-12,USD,USD/INR,87.7424,-0.5328,8,2022,Q3
2022-08-13,USD,USD/INR,88.0224,0.3192,8,2022,Q3
2022-08-14,USD,USD/INR,88.0891,0.0758,8,2022,Q3
2022-08-15,USD,USD/INR,88.455,0.4154,8,2022,Q3
2022-08-16,USD,USD/INR,88.5729,0.1333,8,2022,Q3
2022-08-17,USD,USD/INR,88.8655,0.3304,8,2022,Q3
2022-08-18,USD,USD/INR,88.9899,0.14,8,2022,Q3
2022-08-19,USD,USD/INR,89.3493,0.4039,8,2022,Q3
2022-08-20,USD,USD/INR,89.4893,0.1567,8,2022,Q3
2022-08-21,USD,USD/INR,89.463,-0.0294,8,2022,Q3
2022-08-22,USD,USD/INR,90.0729,0.6817,8,2022,Q3
2022-08-23,USD,USD/INR,90.3131,0.2667,8,2022,Q3
2022-08-24,USD,USD/INR,90.4686,0.1721,8,2022,Q3
2022-08-25,USD,USD/INR,90.1222,-0.3829,8,2022,Q3
2022-08-26,USD,USD/INR,89.7739,-0.3865,8,2022,Q3
2022-08-27,USD,USD/INR,89.8527,0.0878,8,2022,Q3
2022-08-28,USD,USD/INR,89.8919,0.0437,8,2022,Q3
2022-08-29,USD,USD/INR,89.7263,-0.1842,8,2022,Q3
2022-08-30,USD,USD/INR,89.7643,0.0423,8,2022,Q3
2022-08-31,USD,USD/INR,90.1921,0.4766,8,2022,Q3
2022-09-01,USD,USD/INR,90.3802,0.2086,9,2022,Q3
2022-09-02,USD,USD/INR,90.0709,-0.3423,9,2022,Q3
2022-09-03,USD,USD/INR,90.0407,-0.0335,9,2022,Q3
2022-09-04,USD,USD/INR,89.8233,-0.2415,9,2022,Q3
2022-09-05,USD,USD/INR,89.7188,-0.1163,9,2022,Q3
2022-09-06,USD,USD/INR,89.6075,-0.1241,9,2022,Q3
2022-09-07,USD,USD/INR,89.4791,-0.1433,9,2022,Q3
2022-09-08,USD,USD/INR,89.1422,-0.3765,9,2022,Q3
2022-09-09,USD,USD/INR,89.108,-0.0383,9,2022,Q3
2022-09-10,USD,USD/INR,88.9582,-0.1682,9,2022,Q3
2022-09-11,USD,USD/INR,88.1764,-0.8788,9,2022,Q3
2022-09-12,USD,USD/INR,88.7194,0.6159,9,2022,Q3
2022-09-13,USD,USD/INR,89.0092,0.3266,9,2022,Q3
2022-09-14,USD,USD/INR,88.9087,-0.1129,9,2022,Q3
2022-09-15,USD,USD/INR,88.9138,0.0056,9,2022,Q3
2022-09-16,USD,USD/INR,88.6012,-0.3515,9,2022,Q3
2022-09-17,USD,USD/INR,89.052,0.5087,9,2022,Q3
2022-09-18,USD,USD/INR,89.5588,0.5692,9,2022,Q3
2022-09-19,USD,USD/INR,89.6009,0.047,9,2022,Q3
2022-09-20,USD,USD/INR,89.8761,0.3071,9,2022,Q3
2022-09-21,USD,USD/INR,89.9233,0.0526,9,2022,Q3
2022-09-22,USD,USD/INR,89.5627,-0.401,9,2022,Q3
2022-09-23,USD,USD/INR,89.4521,-0.1235,9,2022,Q3
2022-09-24,USD,USD/INR,89.4875,0.0396,9,2022,Q3
2022-09-25,USD,USD/INR,89.3654,-0.1364,9,2022,Q3
2022-09-26,USD,USD/INR,89.3068,-0.0656,9,2022,Q3
2022-09-27,USD,USD/INR,89.2823,-0.0274,9,2022,Q3
2022-09-28,USD,USD/INR,89.2607,-0.0243,9,2022,Q3
2022-09-29,USD,USD/INR,89.2747,0.0157,9,2022,Q3
2022-09-30,USD,USD/INR,88.9906,-0.3182,9,2022,Q3
2022-10-01,USD,USD/INR,88.7992,-0.2151,10,2022,Q4
2022-10-02,USD,USD/INR,88.457,-0.3854,10,2022,Q4
2022-10-03,USD,USD/INR,88.7165,0.2933,10,2022,Q4
2022-10-04,USD,USD/INR,88.156,-0.6317,10,2022,Q4
2022-10-05,USD,USD/INR,88.4611,0.3461,10,2022,Q4
2022-10-06,USD,USD/INR,88.829,0.4159,10,2022,Q4
2022-10-07,USD,USD/INR,88.7485,-0.0907,10,2022,Q4
2022-10-08,USD,USD/INR,88.0554,-0.7809,10,2022,Q4
2022-10-09,USD,USD/INR,87.96,-0.1084,10,2022,Q4
2022-10-10,USD,USD/INR,87.9431,-0.0193,10,2022,Q4
2022-10-11,USD,USD/INR,87.6764,-0.3032,10,2022,Q4
2022-10-12,USD,USD/INR,87.5409,-0.1546,10,2022,Q4
2022-10-13,USD,USD/INR,87.9428,0.4591,10,2022,Q4
2022-10-14,USD,USD/INR,88.1182,0.1995,10,2022,Q4
2022-10-15,USD,USD/INR,87.8738,-0.2774,10,2022,Q4
2022-10-16,USD,USD/INR,87.4526,-0.4793,10,2022,Q4
2022-10-17,USD,USD/INR,87.3668,-0.0981,10,2022,Q4
2022-10-18,USD,USD/INR,87.3109,-0.064,10,2022,Q4
2022-10-19,USD,USD/INR,87.4409,0.1489,10,2022,Q4
2022-10-20,USD,USD/INR,87.3004,-0.1606,10,2022,Q4
2022-10-21,USD,USD/INR,87.4344,0.1534,10,2022,Q4
2022-10-22,USD,USD/INR,87.942,0.5805,10,2022,Q4
2022-10-23,USD,USD/INR,88.1571,0.2447,10,2022,Q4
2022-10-24,USD,USD/INR,88.1444,-0.0144,10,2022,Q4
2022-10-25,USD,USD/INR,88.096,-0.0549,10,2022,Q4
2022-10-26,USD,USD/INR,88.0017,-0.107,10,2022,Q4
2022-10-27,USD,USD/INR,88.3134,0.3542,10,2022,Q4
2022-10-28,USD,USD/INR,88.1472,-0.1882,10,2022,Q4
2022-10-29,USD,USD/INR,88.1592,0.0136,10,2022,Q4
2022-10-30,USD,USD/INR,88.1727,0.0154,10,2022,Q4
2022-10-31,USD,USD/INR,88.04,-0.1505,10,2022,Q4
2022-11-01,USD,USD/INR,87.6775,-0.4117,11,2022,Q4
2022-11-02,USD,USD/INR,87.7625,0.0969,11,2022,Q4
2022-11-03,USD,USD/INR,87.7464,-0.0183,11,2022,Q4
2022-11-04,USD,USD/INR,87.8781,0.1501,11,2022,Q4
2022-11-05,USD,USD/INR,87.7374,-0.1601,11,2022,Q4
2022-11-06,USD,USD/INR,88.0587,0.3662,11,2022,Q4
2022-11-07,USD,USD/INR,87.8271,-0.263,11,2022,Q4
2022-11-08,USD,USD/INR,88.2782,0.5136,11,2022,Q4
2022-11-09,USD,USD/INR,87.8154,-0.5243,11,2022,Q4
2022-11-10,USD,USD/INR,87.9299,0.1304,11,2022,Q4
2022-11-11,USD,USD/INR,88.0553,0.1426,11,2022,Q4
2022-11-12,USD,USD/INR,87.8452,-0.2387,11,2022,Q4
2022-11-13,USD,USD/INR,87.957,0.1273,11,2022,Q4
2022-11-14,USD,USD/INR,88.2946,0.3839,11,2022,Q4
2022-11-15,USD,USD/INR,87.7074,-0.665,11,2022,Q4
2022-11-16,USD,USD/INR,87.8397,0.1508,11,2022,Q4
2022-11-17,USD,USD/INR,87.1827,-0.748,11,2022,Q4
2022-11-18,USD,USD/INR,86.9301,-0.2897,11,2022,Q4
2022-11-19,USD,USD/INR,87.355,0.4887,11,2022,Q4
2022-11-20,USD,USD/INR,87.2025,-0.1745,11,2022,Q4
2022-11-21,USD,USD/INR,86.8954,-0.3522,11,2022,Q4
2022-11-22,USD,USD/INR,86.8438,-0.0594,11,2022,Q4
2022-11-23,USD,USD/INR,87.3826,0.6204,11,2022,Q4
2022-11-24,USD,USD/INR,86.9024,-0.5495,11,2022,Q4
2022-11-25,USD,USD/INR,86.6283,-0.3154,11,2022,Q4
2022-11-26,USD,USD/INR,87.0175,0.4492,11,2022,Q4
2022-11-27,USD,USD/INR,87.5024,0.5573,11,2022,Q4
2022-11-28,USD,USD/INR,87.4753,-0.031,11,2022,Q4
2022-11-29,USD,USD/INR,87.1501,-0.3717,11,2022,Q4
2022-11-30,USD,USD/INR,87.6981,0.6288,11,2022,Q4
2022-12-01,USD,USD/INR,88.1176,0.4783,12,2022,Q4
2022-12-02,USD,USD/INR,88.2971,0.2037,12,2022,Q4
2022-12-03,USD,USD/INR,88.0819,-0.2437,12,2022,Q4
2022-12-04,USD,USD/INR,88.0689,-0.0147,12,2022,Q4
2022-12-05,USD,USD/INR,88.0265,-0.0481,12,2022,Q4
2022-12-06,USD,USD/INR,88.1139,0.0993,12,2022,Q4
2022-12-07,USD,USD/INR,88.4975,0.4353,12,2022,Q4
2022-12-08,USD,USD/INR,88.731,0.2638,12,2022,Q4
2022-12-09,USD,USD/INR,88.4442,-0.3232,12,2022,Q4
2022-12-10,USD,USD/INR,88.8094,0.4129,12,2022,Q4
2022-12-11,USD,USD/INR,88.8928,0.0939,12,2022,Q4
2022-12-12,USD,USD/INR,89.076,0.2061,12,2022,Q4
2022-12-13,USD,USD/INR,89.4679,0.44,12,2022,Q4
2022-12-14,USD,USD/INR,89.1696,-0.3335,12,2022,Q4
2022-12-15,USD,USD/INR,89.16,-0.0107,12,2022,Q4
2022-12-16,USD,USD/INR,89.0179,-0.1594,12,2022,Q4
2022-12-17,USD,USD/INR,88.5992,-0.4704,12,2022,Q4
2022-12-18,USD,USD/INR,88.6913,0.104,12,2022,Q4
2022-12-19,USD,USD/INR,89.3596,0.7535,12,2022,Q4
2022-12-20,USD,USD/INR,88.8663,-0.552,12,2022,Q4
2022-12-21,USD,USD/INR,88.8577,-0.0097,12,2022,Q4
2022-12-22,USD,USD/INR,89.0284,0.1922,12,2022,Q4
2022-12-23,USD,USD/INR,89.0613,0.0369,12,2022,Q4
2022-12-24,USD,USD/INR,89.0311,-0.0339,12,2022,Q4
2022-12-25,USD,USD/INR,88.6841,-0.3898,12,2022,Q4
2022-12-26,USD,USD/INR,88.746,0.0698,12,2022,Q4
2022-12-27,USD,USD/INR,88.5445,-0.227,12,2022,Q4
2022-12-28,USD,USD/INR,87.9628,-0.657,12,2022,Q4
2022-12-29,USD,USD/INR,88.278,0.3584,12,2022,Q4
2022-12-30,USD,USD/INR,88.5319,0.2875,12,2022,Q4
2022-12-31,USD,USD/INR,88.5456,0.0155,12,2022,Q4
2023-01-01,USD,USD/INR,88.6064,0.0687,1,2023,Q1
2023-01-02,USD,USD/INR,88.892,0.3223,1,2023,Q1
2023-01-03,USD,USD/INR,88.9518,0.0673,1,2023,Q1
2023-01-04,USD,USD/INR,89.1931,0.2712,1,2023,Q1
2023-01-05,USD,USD/INR,89.1135,-0.0892,1,2023,Q1
2023-01-06,USD,USD/INR,89.4642,0.3936,1,2023,Q1
2023-01-07,USD,USD/INR,89.5503,0.0962,1,2023,Q1
2023-01-08,USD,USD/INR,89.6024,0.0582,1,2023,Q1
2023-01-09,USD,USD/INR,89.261,-0.381,1,2023,Q1
2023-01-10,USD,USD/INR,89.3379,0.0861,1,2023,Q1
2023-01-11,USD,USD/INR,89.1149,-0.2496,1,2023,Q1
2023-01-12,USD,USD/INR,88.9443,-0.1915,1,2023,Q1
2023-01-13,USD,USD/INR,88.7267,-0.2446,1,2023,Q1
2023-01-14,USD,USD/INR,88.4429,-0.3199,1,2023,Q1
2023-01-15,USD,USD/INR,89.0066,0.6374,1,2023,Q1
2023-01-16,USD,USD/INR,89.3621,0.3994,1,2023,Q1
2023-01-17,USD,USD/INR,89.877,0.5761,1,2023,Q1
2023-01-18,USD,USD/INR,89.5472,-0.3669,1,2023,Q1
2023-01-19,USD,USD/INR,89.5664,0.0214,1,2023,Q1
2023-01-20,USD,USD/INR,89.2188,-0.3881,1,2023,Q1
2023-01-21,USD,USD/INR,89.0326,-0.2087,1,2023,Q1
2023-01-22,USD,USD/INR,88.7874,-0.2754,1,2023,Q1
2023-01-23,USD,USD/INR,89.1176,0.3719,1,2023,Q1
2023-01-24,USD,USD/INR,89.0116,-0.1189,1,2023,Q1
2023-01-25,USD,USD/INR,89.2969,0.3205,1,2023,Q1
2023-01-26,USD,USD/INR,89.4588,0.1812,1,2023,Q1
2023-01-27,USD,USD/INR,90.077,0.6911,1,2023,Q1
2023-01-28,USD,USD/INR,89.6772,-0.4438,1,2023,Q1
2023-01-29,USD,USD/INR,90.016,0.3778,1,2023,Q1
