country,region,category,product_name,total_shipments,avg_fob_per_unit_usd,avg_freight_per_unit_usd,avg_insurance_per_unit_usd,avg_customs_per_unit_usd,avg_port_per_unit_usd,avg_lastmile_per_unit_usd,avg_demurrage_per_unit_usd,avg_total_lc_per_unit_usd,avg_exporter_margin_per_unit_usd,avg_exporter_margin_pct,avg_lc_fob_ratio,freight_pct_of_lc,customs_pct_of_lc,lastmile_pct_of_lc,total_demurrage_usd,route_efficiency
South Africa,Africa,Decor,Handmade Paper Photo Frame Set 3,55,14.3782,0.2475,0.1438,2.9539,1.0331,0.4,0.0498,19.2063,13.9869,97.27,1.3365,1.3,15.4,2.1,514.02,High Cost Route
South Africa,Africa,Decor,Macrame Wall Hanging Small,87,17.4621,0.22,0.1746,3.5713,1.1056,0.4,0.3881,23.3217,17.0674,97.74,1.3357,0.9,15.4,1.7,2625.46,High Cost Route
South Africa,Africa,Storage,Handwoven Jute Storage Basket Large,90,19.1622,0.495,0.1916,3.9698,0.9917,0.4,0.3499,25.5602,18.4756,96.41,1.334,1.9,15.6,1.6,2823.03,High Cost Route
South Africa,Africa,Kitchen,Ceramic Mug Set of 4,49,21.0527,0.4675,0.2105,4.3461,1.1469,0.4,0.3185,27.9422,20.3746,96.78,1.3281,1.7,15.6,1.4,1045.31,High Cost Route
South Africa,Africa,Decor,Recycled Glass Vase Set of 2,48,20.0025,0.5225,0.2,4.145,0.9917,0.4,0.2894,26.5512,19.28,96.38,1.3275,2.0,15.6,1.5,1091.66,High Cost Route
South Africa,Africa,Decor,Macrame Plant Hanger Set of 3,49,15.3078,0.1925,0.1531,3.1307,0.9847,0.4,0.0726,20.2413,14.9622,97.74,1.3231,1.0,15.5,2.0,177.81,High Cost Route
South Africa,Africa,Storage,Woven Seagrass Floor Basket,38,22.1466,0.605,0.2215,4.5946,0.9591,0.4,0.2094,29.1362,21.3201,96.26,1.3157,2.1,15.8,1.4,676.2,High Cost Route
South Africa,Africa,Decor,Warli Art Wall Plate Set of 3,61,23.1187,0.495,0.2312,4.769,1.0139,0.4,0.28,30.3077,22.3925,96.86,1.3109,1.6,15.8,1.3,1192.39,High Cost Route
South Africa,Africa,Decor,Brass Tealight Holder Set of 4,58,20.919,0.3575,0.2092,4.2971,0.9973,0.4,0.2109,27.391,20.3523,97.29,1.3098,1.3,15.7,1.5,1092.29,High Cost Route
South Africa,Africa,Kitchen,Teak Wood Cheese Board,56,23.1686,0.4675,0.2317,4.7736,1.0142,0.4,0.2604,30.3158,22.4694,96.98,1.3086,1.5,15.8,1.3,1139.53,High Cost Route
South Africa,Africa,Lighting,Rattan Pendant Lamp Shade,48,25.8581,0.44,0.2586,5.3113,1.089,0.4,0.4373,33.7943,25.1595,97.3,1.3072,1.3,15.8,1.2,1231.56,High Cost Route
South Africa,Africa,Textiles,Hand Embroidered Cushion Cover Set 2,87,18.2728,0.2475,0.1827,3.7406,0.8901,0.4,0.1471,23.8808,17.8425,97.64,1.307,1.0,15.7,1.7,1315.2,High Cost Route
South Africa,Africa,Decor,Madhubani Art Canvas Print Large,79,21.301,0.1925,0.213,4.3413,1.1334,0.4,0.1691,27.7503,20.8955,98.1,1.3029,0.7,15.7,1.4,928.63,High Cost Route
South Africa,Africa,Rugs,Jute Braided Area Rug 2x3ft,78,28.8654,0.77,0.2887,5.9848,0.9974,0.4,0.2728,37.579,27.8067,96.33,1.3018,2.1,15.9,1.1,1545.33,High Cost Route
South Africa,Africa,Kitchen,Copper Water Bottle 1L,65,24.0885,0.2475,0.2409,4.9154,1.0012,0.4,0.4626,31.3559,23.6001,97.97,1.3016,0.8,15.7,1.3,2631.35,High Cost Route
South Africa,Africa,Decor,Jute Rope Mirror Frame Round,62,24.25,0.4675,0.2425,4.992,0.9677,0.4,0.2322,31.552,23.54,97.07,1.301,1.5,15.8,1.3,1451.24,High Cost Route
South Africa,Africa,Kitchen,Copper Water Bottle 750ml,52,21.3019,0.209,0.213,4.3448,0.9567,0.4,0.209,27.6345,20.8799,98.02,1.2973,0.8,15.7,1.5,1010.78,Moderate Cost
South Africa,Africa,Rugs,Cotton Dhurrie Rug 3x5ft,97,33.5314,0.88,0.3353,6.9494,1.1064,0.4,0.2758,43.4783,32.3161,96.37,1.2967,2.0,16.0,0.9,2179.8,Moderate Cost
South Africa,Africa,Decor,Macrame Wall Hanging Large,82,24.7222,0.3575,0.2472,5.0654,0.9901,0.4,0.2671,32.0495,24.1174,97.55,1.2962,1.1,15.8,1.3,1994.7,Moderate Cost
South Africa,Africa,Kitchen,Teak Wood Salad Bowl Large,58,31.7369,0.66,0.3174,6.5428,1.0171,0.4,0.3369,41.0111,30.7595,96.92,1.2927,1.6,16.0,1.0,1630.7,Moderate Cost
South Africa,Africa,Lighting,Bamboo Table Lamp,46,30.8383,0.605,0.3084,6.3503,1.0656,0.4,0.2346,39.8022,29.9249,97.04,1.2906,1.5,16.0,1.0,821.95,Moderate Cost
South Africa,Africa,Rugs,Jute Braided Area Rug 4x6ft,81,53.836,1.76,0.5384,11.2269,1.1413,0.4,0.4225,69.3251,51.5377,95.73,1.2876,2.5,16.2,0.6,2717.02,Moderate Cost
South Africa,Africa,Kitchen,Ceramic Dinner Set 12pc,86,46.1972,1.375,0.462,9.6068,1.0473,0.4,0.3376,59.4259,44.3602,96.02,1.2863,2.3,16.2,0.7,2516.92,Moderate Cost
South Africa,Africa,Textiles,Hand Block Print Bedsheet Set,76,44.2387,0.99,0.4424,9.1342,1.0701,0.4,0.395,56.6705,42.8063,96.76,1.2812,1.7,16.1,0.7,2935.95,Moderate Cost
South Africa,Africa,Textiles,Kantha Quilt Throw Blanket,80,36.4848,0.66,0.3648,7.5019,0.9503,0.4,0.1945,46.5563,35.4599,97.19,1.2761,1.4,16.1,0.9,1518.91,Moderate Cost
South Africa,Africa,Furniture,Cane Rattan Side Table,48,64.8267,1.925,0.6483,13.48,0.9683,0.4,0.3684,82.6166,62.2534,96.02,1.2745,2.3,16.3,0.5,1423.26,Moderate Cost
Malaysia,Asia Pacific,Textiles,Block Print Cotton Table Runner,73,11.6153,0.098,0.1162,1.1829,1.0086,0.25,0.4066,14.6776,11.4012,98.16,1.2642,0.7,8.1,1.7,2008.06,Moderate Cost
Canada,North America,Textiles,Block Print Cotton Table Runner,172,11.5451,0.1344,0.1155,1.0026,1.0146,0.35,0.3927,14.5549,11.2953,97.83,1.2612,0.9,6.9,2.4,4959.67,Moderate Cost
Malaysia,Asia Pacific,Bath,Bamboo Toothbrush Holder Set,74,11.593,0.105,0.1159,1.1814,0.9945,0.25,0.209,14.4488,11.372,98.09,1.2465,0.7,8.2,1.7,1821.76,Moderate Cost
Malaysia,Asia Pacific,Kitchen,Bamboo Serving Tray Large,84,15.3581,0.2625,0.1536,1.5774,1.0009,0.25,0.5167,19.1192,14.942,97.29,1.2449,1.4,8.3,1.3,2949.92,Moderate Cost
Canada,North America,Bath,Bamboo Toothbrush Holder Set,176,11.5527,0.144,0.1155,1.004,1.0161,0.35,0.1757,14.3581,11.2932,97.75,1.2429,1.0,7.0,2.5,2687.39,Moderate Cost
Malaysia,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,79,14.4361,0.21,0.1444,1.479,0.9588,0.25,0.4678,17.9461,14.0817,97.54,1.2429,1.2,8.3,1.4,3034.86,Moderate Cost
Malaysia,Asia Pacific,Textiles,Block Print Cotton Napkin Set of 6,94,13.437,0.1225,0.1344,1.3694,1.039,0.25,0.3178,16.6701,13.1802,98.09,1.241,0.7,8.2,1.5,3096.8,Moderate Cost
Saudi Arabia,Middle East,Textiles,Block Print Cotton Table Runner,122,11.5013,0.0896,0.115,0.6438,1.0991,0.28,0.4763,14.2052,11.2967,98.22,1.2363,0.6,4.6,2.0,4110.59,Moderate Cost
New Zealand,Asia Pacific,Textiles,Block Print Cotton Table Runner,51,11.5224,0.098,0.1152,0.5868,0.9855,0.25,0.6389,14.1968,11.3091,98.15,1.2326,0.7,4.2,1.8,2244.8,Moderate Cost
Malaysia,Asia Pacific,Decor,Hand Painted Wooden Bowl,71,15.2766,0.1925,0.1528,1.5622,1.1119,0.25,0.263,18.809,14.9314,97.74,1.2317,1.0,8.3,1.3,987.06,Moderate Cost
Canada,North America,Decor,Handmade Soy Candle Large,177,12.4763,0.1824,0.1248,1.0866,0.9752,0.35,0.152,15.3473,12.1692,97.54,1.2302,1.2,7.1,2.3,2636.05,Moderate Cost
Canada,North America,Kitchen,Bamboo Serving Tray Large,195,15.4601,0.36,0.1546,1.3579,1.1049,0.35,0.2266,19.014,14.9455,96.67,1.2299,1.9,7.2,1.8,3806.34,Moderate Cost
Malaysia,Asia Pacific,Decor,Handmade Soy Candle Large,75,12.5701,0.133,0.1257,1.2829,1.001,0.25,0.0824,15.4452,12.3114,97.94,1.229,0.9,8.3,1.6,786.48,Moderate Cost
Canada,North America,Storage,Handwoven Jute Storage Basket Small,167,14.471,0.288,0.1447,1.2668,1.0102,0.35,0.2441,17.7748,14.0382,97.01,1.2285,1.6,7.1,2.0,3753.86,Moderate Cost
Canada,North America,Textiles,Block Print Cotton Napkin Set of 6,197,13.3995,0.168,0.134,1.1646,1.04,0.35,0.1939,16.45,13.0975,97.74,1.228,1.0,7.1,2.1,3304.62,Moderate Cost
Malaysia,Asia Pacific,Decor,Hand Painted Wooden Tray,76,17.3037,0.245,0.173,1.7722,1.1127,0.25,0.3719,21.2285,16.8857,97.58,1.2265,1.2,8.4,1.2,2270.72,Moderate Cost
Canada,North America,Kitchen,Bamboo Cutting Board Set of 3,177,16.3536,0.432,0.1635,1.4407,0.9904,0.35,0.3043,20.0345,15.7581,96.35,1.225,2.2,7.2,1.8,4317.09,Moderate Cost
Malaysia,Asia Pacific,Decor,Macrame Wall Hanging Small,103,17.3779,0.14,0.1738,1.7692,1.0447,0.25,0.5009,21.2564,17.0641,98.19,1.2234,0.7,8.4,1.2,4133.92,Moderate Cost
Malaysia,Asia Pacific,Decor,Handmade Paper Photo Frame Set 3,70,14.475,0.1575,0.1448,1.4777,1.0354,0.25,0.147,17.6873,14.1727,97.91,1.2223,0.9,8.4,1.4,663.23,Moderate Cost
New Zealand,Asia Pacific,Decor,Handmade Soy Candle Large,51,12.4698,0.133,0.1247,0.6364,1.0187,0.25,0.6047,15.2373,12.2121,97.93,1.2213,0.9,4.2,1.7,1938.15,Moderate Cost
Canada,North America,Storage,Jute Cotton Laundry Basket,172,17.3093,0.36,0.1731,1.5166,1.0379,0.35,0.3812,21.1281,16.7762,96.92,1.2211,1.7,7.2,1.7,5698.5,Moderate Cost
Canada,North America,Decor,Hand Painted Wooden Bowl,204,15.331,0.264,0.1533,1.3386,1.027,0.35,0.2299,18.6937,14.9137,97.28,1.2196,1.4,7.2,1.9,5218.0,Moderate Cost
Canada,North America,Decor,Macrame Plant Hanger Set of 3,181,15.3609,0.168,0.1536,1.333,1.0895,0.35,0.2637,18.7187,15.0393,97.9,1.219,0.9,7.1,1.9,4059.29,Moderate Cost
Malaysia,Asia Pacific,Decor,Macrame Plant Hanger Set of 3,82,15.3346,0.1225,0.1533,1.561,1.0668,0.25,0.1942,18.6825,15.0588,98.2,1.2184,0.7,8.4,1.3,1788.42,Moderate Cost
Malaysia,Asia Pacific,Decor,Handmade Soy Candle Set of 3,75,15.4283,0.1925,0.1543,1.5775,0.9639,0.25,0.2226,18.789,15.0815,97.75,1.218,1.0,8.4,1.3,1997.75,Moderate Cost
Canada,North America,Garden,Terracotta Planter Set of 3,181,19.158,0.624,0.1916,1.6977,1.0335,0.35,0.2426,23.2974,18.3424,95.74,1.2165,2.7,7.3,1.5,4258.24,Moderate Cost
Canada,North America,Decor,Handmade Soy Candle Set of 3,182,15.3793,0.264,0.1538,1.3427,1.0549,0.35,0.1564,18.7011,14.9615,97.28,1.2164,1.4,7.2,1.9,2924.06,Moderate Cost
Malaysia,Asia Pacific,Garden,Terracotta Planter Set of 3,86,19.2488,0.455,0.1925,1.9896,1.0644,0.25,0.1799,23.3802,18.6014,96.63,1.2149,2.0,8.5,1.1,1226.42,Moderate Cost
Canada,North America,Decor,Handmade Paper Photo Frame Set 3,162,14.5194,0.216,0.1452,1.2649,0.9874,0.35,0.1543,17.6372,14.1582,97.51,1.2148,1.2,7.2,2.0,2631.67,Moderate Cost
Malaysia,Asia Pacific,Kitchen,Bamboo Cutting Board Set of 3,87,16.3356,0.315,0.1633,1.6814,1.0055,0.25,0.079,19.8299,15.8573,97.07,1.2141,1.6,8.5,1.3,918.14,Moderate Cost
Saudi Arabia,Middle East,Bath,Bamboo Toothbrush Holder Set,139,11.5649,0.096,0.1156,0.6477,1.0072,0.28,0.306,14.0174,11.3532,98.17,1.213,0.7,4.6,2.0,2920.93,Moderate Cost
Saudi Arabia,Middle East,Decor,Handmade Soy Candle Large,128,12.4922,0.1216,0.1249,0.7006,1.0414,0.28,0.3695,15.1302,12.2457,98.02,1.2116,0.8,4.7,1.9,3294.35,Moderate Cost
Kuwait,Middle East,Decor,Hand Painted Wooden Tray,44,17.1123,0.224,0.1711,0.8754,1.0791,0.28,0.9566,20.6985,16.7171,97.69,1.2114,1.1,4.3,1.4,2956.47,Moderate Cost
Malaysia,Asia Pacific,Storage,Jute Cotton Laundry Basket,84,17.3807,0.2625,0.1738,1.7817,0.9996,0.25,0.1624,21.0107,16.9444,97.49,1.2086,1.3,8.5,1.2,1066.51,Moderate Cost
Canada,North America,Textiles,Handloom Cotton Throw Pillow Set 2,152,16.3603,0.264,0.1636,1.427,1.0471,0.35,0.1537,19.7657,15.9327,97.38,1.2086,1.3,7.2,1.8,2441.83,Moderate Cost
Malaysia,Asia Pacific,Textiles,Handloom Cotton Throw Pillow Set 2,72,16.3413,0.1925,0.1634,1.6697,1.0058,0.25,0.1179,19.7405,15.9854,97.82,1.2085,1.0,8.5,1.3,773.57,Moderate Cost
Kuwait,Middle East,Textiles,Block Print Cotton Table Runner,44,11.5473,0.0896,0.1155,0.5876,0.9953,0.28,0.3356,13.9509,11.3422,98.22,1.2085,0.6,4.2,2.0,1507.1,Moderate Cost
Canada,North America,Decor,Hand Painted Wooden Tray,186,17.3506,0.336,0.1735,1.5181,1.0538,0.35,0.1698,20.9519,16.8411,97.06,1.2078,1.6,7.3,1.7,2597.64,Moderate Cost
USA,North America,Bath,Bamboo Toothbrush Holder Set,521,11.503,0.144,0.115,0.4705,1.0131,0.35,0.2829,13.8785,11.2439,97.75,1.2069,1.0,3.4,2.5,12203.71,Moderate Cost
Canada,North America,Garden,Terracotta Planter Large,164,23.04,0.864,0.2304,2.0514,1.0378,0.35,0.2231,27.7967,21.9456,95.24,1.2067,3.1,7.4,1.3,3133.57,Moderate Cost
Australia,Asia Pacific,Bath,Bamboo Toothbrush Holder Set,150,11.5144,0.105,0.1151,0.5867,1.0409,0.25,0.2709,13.8831,11.2943,98.09,1.2063,0.8,4.2,1.8,3549.88,Moderate Cost
UAE,Middle East,Textiles,Block Print Cotton Table Runner,357,11.5197,0.0896,0.1152,0.5862,1.0234,0.28,0.2704,13.8845,11.3149,98.22,1.2052,0.7,4.2,2.0,7476.58,Moderate Cost
Canada,North America,Storage,Handwoven Jute Storage Basket Large,285,19.2582,0.432,0.1926,1.69,0.9962,0.35,0.2804,23.1994,18.6337,96.75,1.205,1.9,7.3,1.5,7190.76,Moderate Cost
Canada,North America,Decor,Macrame Wall Hanging Small,266,17.3335,0.192,0.1733,1.5044,1.0336,0.35,0.2992,20.8859,16.9681,97.89,1.2048,0.9,7.2,1.7,5643.15,Moderate Cost
New Zealand,Asia Pacific,Bath,Bamboo Toothbrush Holder Set,63,11.6324,0.105,0.1163,0.5927,1.0867,0.25,0.2257,14.0089,11.4111,98.1,1.2046,0.8,4.3,1.8,1038.05,Moderate Cost
Kuwait,Middle East,Bath,Bamboo Toothbrush Holder Set,53,11.5562,0.096,0.1156,0.5884,1.0302,0.28,0.223,13.8893,11.3447,98.17,1.2037,0.7,4.2,2.0,1565.39,Moderate Cost
Canada,North America,Decor,Recycled Glass Vase Set of 2,159,20.1732,0.456,0.2017,1.7706,0.9706,0.35,0.3389,24.2611,19.5155,96.74,1.203,1.9,7.3,1.4,4566.13,Moderate Cost
UAE,Middle East,Bath,Bamboo Toothbrush Holder Set,361,11.5326,0.096,0.1153,0.5872,1.0052,0.28,0.2552,13.8715,11.3213,98.17,1.203,0.7,4.3,2.0,7535.54,Moderate Cost
Malaysia,Asia Pacific,Garden,Terracotta Planter Large,88,23.0318,0.63,0.2303,2.3892,1.0372,0.25,0.1255,27.6941,22.1715,96.26,1.2026,2.3,8.6,0.9,693.34,Moderate Cost
Malaysia,Asia Pacific,Storage,Handwoven Jute Storage Basket Large,116,19.2328,0.315,0.1923,1.974,0.9452,0.25,0.2009,23.1102,18.7254,97.36,1.2016,1.4,8.6,1.1,2484.01,Moderate Cost
Malaysia,Asia Pacific,Textiles,Hand Embroidered Cushion Cover Set 2,131,18.3009,0.1575,0.183,1.8641,1.0118,0.25,0.2104,21.9777,17.9604,98.14,1.2011,0.7,8.5,1.1,3110.57,Moderate Cost
USA,North America,Textiles,Block Print Cotton Table Runner,535,11.5238,0.1344,0.1152,0.4709,1.0451,0.35,0.184,13.8235,11.2742,97.83,1.2001,1.0,3.4,2.5,8570.75,Moderate Cost
Canada,North America,Textiles,Hand Embroidered Cushion Cover Set 2,303,18.2695,0.216,0.1827,1.5868,1.0409,0.35,0.2665,21.9123,17.8708,97.82,1.1996,1.0,7.3,1.6,6709.11,Moderate Cost
Malaysia,Asia Pacific,Decor,Warli Art Wall Plate Set of 3,69,23.1617,0.315,0.2316,2.3708,1.1001,0.25,0.3557,27.785,22.6151,97.64,1.1994,1.1,8.5,0.9,2131.94,Moderate Cost
Kuwait,Middle East,Decor,Handmade Soy Candle Large,55,12.5675,0.1216,0.1257,0.6407,1.0387,0.28,0.2918,15.066,12.3202,98.03,1.1984,0.8,4.3,1.9,1056.96,Moderate Cost
New Zealand,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,46,14.4065,0.21,0.1441,0.738,1.0368,0.25,0.4856,17.2711,14.0524,97.54,1.1983,1.2,4.3,1.5,1292.32,Moderate Cost
Saudi Arabia,Middle East,Storage,Handwoven Jute Storage Basket Small,114,14.4632,0.192,0.1446,0.814,1.0495,0.28,0.3748,17.3181,14.1265,97.67,1.1976,1.1,4.7,1.6,3519.41,Moderate Cost
Malaysia,Asia Pacific,Decor,Brass Tealight Holder Set of 4,85,21.0941,0.2275,0.2109,2.1533,0.9992,0.25,0.3163,25.2513,20.6557,97.92,1.1972,0.9,8.5,1.0,1945.65,Moderate Cost
Australia,Asia Pacific,Textiles,Block Print Cotton Napkin Set of 6,163,13.4615,0.1225,0.1346,0.6859,1.0352,0.25,0.4187,16.1084,13.2044,98.09,1.1965,0.8,4.3,1.6,5026.13,Moderate Cost
Malaysia,Asia Pacific,Decor,Recycled Glass Vase Set of 2,70,20.148,0.3325,0.2015,2.0682,1.0569,0.25,0.0303,24.0874,19.6141,97.35,1.1957,1.4,8.6,1.0,354.67,Moderate Cost
Canada,North America,Storage,Woven Seagrass Floor Basket,175,22.1273,0.528,0.2213,1.9445,1.0131,0.35,0.2637,26.4479,21.378,96.61,1.1952,2.0,7.4,1.3,4434.43,Moderate Cost
Canada,North America,Kitchen,Ceramic Mug Set of 4,189,21.0828,0.408,0.2108,1.8446,1.0346,0.35,0.2503,25.1812,20.4639,97.06,1.1946,1.6,7.3,1.4,3484.09,Moderate Cost
UAE,Middle East,Decor,Handmade Soy Candle Large,392,12.4886,0.1216,0.1249,0.6368,1.0182,0.28,0.2323,14.9024,12.2421,98.02,1.1937,0.8,4.3,1.9,7556.29,Moderate Cost
Malaysia,Asia Pacific,Kitchen,Ceramic Mug Set of 4,79,21.1256,0.2975,0.2113,2.1634,0.9403,0.25,0.1971,25.1852,20.6168,97.59,1.1929,1.2,8.6,1.0,999.76,Moderate Cost
Australia,Asia Pacific,Textiles,Block Print Cotton Table Runner,169,11.5385,0.098,0.1154,0.5876,1.0582,0.25,0.1022,13.7498,11.3251,98.15,1.1918,0.7,4.3,1.8,1297.24,Moderate Cost
Malaysia,Asia Pacific,Storage,Woven Seagrass Floor Basket,74,22.0241,0.385,0.2202,2.2629,0.9788,0.25,0.1149,26.236,21.4188,97.25,1.1916,1.5,8.6,1.0,1190.12,Moderate Cost
USA,North America,Decor,Handmade Soy Candle Large,499,12.5178,0.1824,0.1252,0.513,0.9815,0.35,0.2407,14.9105,12.2102,97.54,1.1912,1.2,3.5,2.4,12000.49,Moderate Cost
New Zealand,Asia Pacific,Kitchen,Bamboo Serving Tray Large,50,15.4016,0.2625,0.154,0.7909,0.938,0.25,0.5424,18.3395,14.9851,97.29,1.1907,1.4,4.3,1.4,2100.98,Moderate Cost
Malaysia,Asia Pacific,Decor,Madhubani Art Canvas Print Large,106,21.0017,0.1225,0.21,2.1334,1.053,0.25,0.2027,24.9733,20.6692,98.42,1.1898,0.5,8.6,1.0,1475.71,Moderate Cost
Malaysia,Asia Pacific,Kitchen,Teak Wood Cheese Board,85,22.9835,0.2975,0.2298,2.3511,1.0094,0.25,0.1923,27.3136,22.4562,97.7,1.1886,1.1,8.6,0.9,2520.56,Moderate Cost
Australia,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,155,14.4435,0.21,0.1444,0.7399,1.0396,0.25,0.3311,17.1585,14.0891,97.54,1.1884,1.2,4.3,1.5,4477.53,Moderate Cost
Saudi Arabia,Middle East,Textiles,Block Print Cotton Napkin Set of 6,121,13.4099,0.112,0.1341,0.7511,1.0041,0.28,0.2412,15.9324,13.1638,98.16,1.1883,0.7,4.7,1.8,2263.88,Moderate Cost
Australia,Asia Pacific,Decor,Handmade Soy Candle Large,176,12.5007,0.133,0.125,0.6379,0.9468,0.25,0.2563,14.8497,12.2427,97.93,1.1878,0.9,4.3,1.7,4156.5,Moderate Cost
Australia,Asia Pacific,Kitchen,Bamboo Cutting Board Set of 3,163,16.3117,0.315,0.1631,0.8395,1.0797,0.25,0.4048,19.3637,15.8335,97.07,1.1872,1.6,4.4,1.3,4663.42,Moderate Cost
Saudi Arabia,Middle East,Decor,Hand Painted Wooden Bowl,127,15.3814,0.176,0.1538,0.8641,0.9862,0.28,0.412,18.2535,15.0516,97.85,1.1866,1.0,4.8,1.5,3360.2,Moderate Cost
Malaysia,Asia Pacific,Lighting,Rattan Pendant Lamp Shade,66,25.9282,0.28,0.2593,2.6467,0.9788,0.25,0.4042,30.7471,25.3889,97.92,1.1856,0.9,8.6,0.8,2027.85,Moderate Cost
USA,North America,Kitchen,Bamboo Serving Tray Large,502,15.396,0.36,0.154,0.6364,1.0037,0.35,0.3479,18.248,14.8821,96.66,1.1855,2.0,3.5,1.9,13479.21,Moderate Cost
Canada,North America,Kitchen,Teak Wood Cheese Board,199,23.0846,0.408,0.2308,2.0165,0.9788,0.35,0.277,27.3458,22.4458,97.23,1.1848,1.5,7.4,1.3,4847.62,Moderate Cost
Malaysia,Asia Pacific,Kitchen,Copper Water Bottle 750ml,83,21.1041,0.133,0.211,2.1448,0.929,0.25,0.2051,24.9771,20.7601,98.37,1.1841,0.5,8.6,1.0,1735.61,Moderate Cost
Canada,North America,Decor,Warli Art Wall Plate Set of 3,193,23.0276,0.432,0.2303,2.0136,0.9927,0.35,0.2133,27.2595,22.3653,97.12,1.1839,1.6,7.4,1.3,3546.55,Moderate Cost
Kuwait,Middle East,Textiles,Block Print Cotton Napkin Set of 6,71,13.4755,0.112,0.1348,0.6861,0.9875,0.28,0.2706,15.9465,13.2287,98.17,1.1837,0.7,4.3,1.8,1551.02,Moderate Cost
Saudi Arabia,Middle East,Decor,Handmade Paper Photo Frame Set 3,124,14.348,0.144,0.1435,0.805,1.0635,0.28,0.1888,16.9728,14.0605,97.99,1.183,0.9,4.8,1.7,1922.96,Moderate Cost
USA,North America,Storage,Handwoven Jute Storage Basket Small,494,14.3809,0.288,0.1438,0.5925,1.025,0.35,0.2293,17.0095,13.9491,96.99,1.1829,1.7,3.5,2.1,9525.67,Moderate Cost
Saudi Arabia,Middle East,Kitchen,Bamboo Cutting Board Set of 3,148,16.4061,0.288,0.1641,0.9272,1.0321,0.28,0.3006,19.3981,15.9541,97.24,1.1828,1.5,4.8,1.4,3401.21,Moderate Cost
