country,region,category,product_name,fiscal_year,quarter,avg_trends_score,total_search_volume,avg_yoy_growth_pct,total_social_mentions,avg_amazon_bsr,total_demand_units,avg_seasonality_index,demand_classification
Japan,Asia Pacific,Decor,Hand Painted Wooden Tray,2024,Q4,82.0,914305,24.3,55448,227.0,32870,1.233,📈 Growing
Netherlands,Europe,Decor,Hand Painted Wooden Bowl,2024,Q3,63.6,744505,24.29,46263,267.0,27612,1.01,📈 Growing
Ireland,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q4,82.7,737607,24.29,65555,187.0,39786,1.233,📈 Growing
USA,North America,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q4,82.5,4232862,24.28,79910,153.0,48539,1.233,📈 Growing
Spain,Europe,Kitchen,Ceramic Mug Set of 4,2024,Q3,64.0,784899,24.28,44932,266.0,27784,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Hand Painted Wooden Bowl,2024,Q2,55.6,414271,24.26,43019,276.0,26471,0.917,📈 Growing
UK,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q1,58.2,1347843,24.26,50770,234.0,31535,1.018,📈 Growing
UAE,Middle East,Garden,Terracotta Planter Large,2024,Q4,83.4,2233069,24.25,81495,157.0,47407,1.233,📈 Growing
Canada,North America,Kitchen,Ceramic Mug Set of 4,2024,Q3,63.6,1099900,24.24,56602,217.0,34014,1.01,📈 Growing
USA,North America,Rugs,Jute Braided Area Rug 2x3ft,2024,Q3,64.2,3291393,24.24,62213,196.0,37736,1.01,📈 Growing
France,Europe,Lighting,Bamboo Table Lamp,2024,Q3,64.4,1004725,24.24,49261,253.0,29232,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Madhubani Art Canvas Print Large,2024,Q4,82.7,623451,24.24,63994,187.0,39859,1.233,📈 Growing
Australia,Asia Pacific,Decor,Macrame Wall Hanging Large,2024,Q3,64.4,754187,24.24,53066,229.0,32275,1.01,📈 Growing
Netherlands,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q2,55.1,637955,24.24,39296,309.0,23653,0.917,📈 Growing
Italy,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q2,54.7,724118,24.23,40016,297.0,24575,0.917,📈 Growing
Ireland,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q4,82.9,739393,24.23,65232,186.0,39883,1.233,📈 Growing
Netherlands,Europe,Kitchen,Ceramic Dinner Set 12pc,2024,Q1,57.5,666179,24.23,39884,298.0,24695,1.018,📈 Growing
Singapore,Asia Pacific,Decor,Handmade Soy Candle Set of 3,2024,Q3,63.9,855379,24.22,55484,221.0,33316,1.01,📈 Growing
France,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q1,57.7,890339,24.22,40861,285.0,25900,1.018,📈 Growing
Kuwait,Middle East,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q3,64.5,719438,24.21,57390,214.0,34492,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Macrame Wall Hanging Small,2024,Q3,64.8,487677,24.21,52118,237.0,31165,1.01,📈 Growing
Canada,North America,Garden,Terracotta Planter Large,2024,Q1,58.1,993296,24.2,51376,240.0,30717,1.018,📈 Growing
New Zealand,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q3,64.6,485914,24.2,53538,238.0,31053,1.01,📈 Growing
New Zealand,Asia Pacific,Lighting,Bamboo Table Lamp,2024,Q4,82.9,624206,24.2,67928,187.0,39909,1.233,📈 Growing
Kuwait,Middle East,Decor,Warli Art Wall Plate Set of 3,2024,Q4,82.3,919274,24.19,75715,169.0,44083,1.233,📈 Growing
France,Europe,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q3,63.6,992061,24.19,47404,256.0,28867,1.01,📈 Growing
Portugal,Europe,Kitchen,Copper Water Bottle 1L,2024,Q2,55.0,424570,24.19,37603,324.0,22518,0.917,📈 Growing
Australia,Asia Pacific,Decor,Warli Art Wall Plate Set of 3,2024,Q1,57.2,662417,24.18,49367,260.0,28343,1.018,📈 Growing
Malaysia,Asia Pacific,Textiles,Kantha Quilt Throw Blanket,2024,Q4,81.8,1276593,24.18,70169,174.0,42630,1.233,📈 Growing
Netherlands,Europe,Kitchen,Copper Water Bottle 1L,2024,Q2,55.7,645440,24.18,39364,305.0,23931,0.917,📈 Growing
Malaysia,Asia Pacific,Garden,Terracotta Planter Large,2024,Q3,64.7,1010628,24.17,58225,219.0,33736,1.01,📈 Growing
Germany,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q1,57.1,1070648,24.17,44796,272.0,27166,1.018,📈 Growing
Saudi Arabia,Middle East,Decor,Handmade Soy Candle Set of 3,2024,Q2,54.7,1237654,24.17,48924,252.0,28936,0.917,📈 Growing
New Zealand,Asia Pacific,Kitchen,Copper Water Bottle 750ml,2024,Q3,63.5,477870,24.17,51787,242.0,30548,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Macrame Plant Hanger Set of 3,2024,Q2,55.3,412048,24.17,41420,278.0,26325,0.917,📈 Growing
Spain,Europe,Decor,Handmade Soy Candle Large,2024,Q4,83.3,1022925,24.16,59619,205.0,36226,1.233,📈 Growing
New Zealand,Asia Pacific,Decor,Handmade Soy Candle Set of 3,2024,Q3,64.0,481321,24.16,50884,240.0,30762,1.01,📈 Growing
Japan,Asia Pacific,Rugs,Jute Braided Area Rug 2x3ft,2024,Q2,54.5,601143,24.15,36713,339.0,21599,0.917,📈 Growing
Malaysia,Asia Pacific,Textiles,Hand Block Print Bedsheet Set,2024,Q1,57.4,885957,24.15,49419,250.0,29568,1.018,📈 Growing
Canada,North America,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q2,55.3,945912,24.13,48693,250.0,29248,0.917,📈 Growing
Japan,Asia Pacific,Decor,Handmade Soy Candle Set of 3,2024,Q1,57.6,635114,24.12,39403,324.0,22819,1.018,📈 Growing
South Africa,Africa,Garden,Terracotta Planter Large,2024,Q3,64.4,574405,24.12,46211,264.0,27953,1.01,📈 Growing
UAE,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,58.2,1539674,24.11,52828,226.0,32673,1.018,📈 Growing
Sweden,Europe,Kitchen,Copper Water Bottle 1L,2024,Q4,82.7,830120,24.11,64258,198.0,37585,1.233,📈 Growing
UAE,Middle East,Garden,Terracotta Planter Large,2024,Q1,57.5,1522853,24.11,54063,228.0,32319,1.018,📈 Growing
Netherlands,Europe,Kitchen,Ceramic Mug Set of 4,2024,Q2,55.6,643368,24.11,41358,307.0,23850,0.917,📈 Growing
Australia,Asia Pacific,Rugs,Jute Braided Area Rug 2x3ft,2024,Q2,54.9,635619,24.09,42175,269.0,27197,0.917,📈 Growing
Netherlands,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q4,83.0,971997,24.09,60313,206.0,36057,1.233,📈 Growing
Netherlands,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q2,56.0,648576,24.09,38870,304.0,24046,0.917,📈 Growing
USA,North America,Garden,Terracotta Planter Set of 3,2024,Q3,63.9,3276449,24.09,61115,197.0,37561,1.01,📈 Growing
Canada,North America,Kitchen,Ceramic Dinner Set 12pc,2024,Q1,57.5,983476,24.08,50532,243.0,30415,1.018,📈 Growing
Portugal,Europe,Rugs,Jute Braided Area Rug 2x3ft,2024,Q3,63.9,498748,24.08,44528,279.0,26467,1.01,📈 Growing
South Africa,Africa,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q1,58.4,515481,24.08,40692,295.0,25085,1.018,📈 Growing
UK,Europe,Decor,Macrame Wall Hanging Small,2024,Q4,82.6,1936210,24.08,77582,164.0,45317,1.233,📈 Growing
Portugal,Europe,Decor,Handmade Soy Candle Large,2024,Q2,55.0,424829,24.08,35591,324.0,22536,0.917,📈 Growing
Italy,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,54.6,722226,24.06,40716,298.0,24512,0.917,📈 Growing
UK,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q2,55.1,1275710,24.06,49407,245.0,29846,0.917,📈 Growing
UK,Europe,Kitchen,Bamboo Serving Tray Large,2024,Q2,55.1,1277077,24.06,49491,244.0,29873,0.917,📈 Growing
Japan,Asia Pacific,Kitchen,Copper Water Bottle 1L,2024,Q2,55.2,608364,24.05,35931,334.0,21857,0.917,📈 Growing
Netherlands,Europe,Lighting,Bamboo Table Lamp,2024,Q4,82.3,965495,24.05,61312,208.0,35818,1.233,📈 Growing
Germany,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q3,63.5,1203970,24.05,48665,242.0,30553,1.01,📈 Growing
Germany,Europe,Kitchen,Copper Water Bottle 750ml,2024,Q4,82.2,1560124,24.05,63515,188.0,39600,1.233,📈 Growing
Spain,Europe,Rugs,Jute Braided Area Rug 4x6ft,2024,Q2,54.9,666123,24.05,39783,310.0,23577,0.917,📈 Growing
UK,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,82.7,1937250,24.05,77363,164.0,45346,1.233,📈 Growing
Spain,Europe,Decor,Madhubani Art Canvas Print Large,2024,Q4,82.3,1010126,24.05,61730,208.0,35777,1.233,📈 Growing
Japan,Asia Pacific,Kitchen,Teak Wood Cheese Board,2024,Q2,55.6,612869,24.03,37520,332.0,22022,0.917,📈 Growing
New Zealand,Asia Pacific,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,57.5,428046,24.03,43661,270.0,27354,1.018,📈 Growing
Saudi Arabia,Middle East,Rugs,Jute Braided Area Rug 2x3ft,2024,Q2,54.8,1238518,24.03,48481,253.0,28960,0.917,📈 Growing
Sweden,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q4,82.6,830068,24.03,61949,198.0,37585,1.233,📈 Growing
Spain,Europe,Kitchen,Teak Wood Cheese Board,2024,Q1,57.7,700497,24.03,42422,298.0,24790,1.018,📈 Growing
Canada,North America,Rugs,Jute Braided Area Rug 2x3ft,2024,Q4,83.3,1441487,24.02,72524,167.0,44597,1.233,📈 Growing
UK,Europe,Kitchen,Copper Water Bottle 750ml,2024,Q2,54.9,1271636,24.02,50327,246.0,29748,0.917,📈 Growing
Netherlands,Europe,Garden,Terracotta Planter Large,2024,Q2,55.5,643273,24.02,41029,307.0,23847,0.917,📈 Growing
South Africa,Africa,Rugs,Jute Braided Area Rug 2x3ft,2024,Q1,57.8,510316,24.02,41088,297.0,24835,1.018,📈 Growing
Malaysia,Asia Pacific,Kitchen,Copper Water Bottle 1L,2024,Q1,57.2,883253,24.02,48682,251.0,29485,1.018,📈 Growing
Kuwait,Middle East,Decor,Warli Art Wall Plate Set of 3,2024,Q3,64.7,721427,24.02,58756,214.0,34589,1.01,📈 Growing
Germany,Europe,Decor,Macrame Wall Hanging Small,2024,Q1,57.8,1083642,24.02,44216,269.0,27489,1.018,📈 Growing
New Zealand,Asia Pacific,Rugs,Jute Braided Area Rug 2x3ft,2024,Q4,82.3,619983,24.01,67934,188.0,39635,1.233,📈 Growing
Australia,Asia Pacific,Garden,Terracotta Planter Set of 3,2024,Q2,55.2,639241,24.01,46310,267.0,27351,0.917,📈 Growing
USA,North America,Kitchen,Bamboo Serving Tray Large,2024,Q3,64.5,3308304,24.0,64931,195.0,37926,1.01,📈 Growing
Saudi Arabia,Middle East,Storage,Handwoven Jute Storage Basket Large,2024,Q1,58.1,1313969,24.0,47904,240.0,30721,1.018,📈 Growing
Netherlands,Europe,Decor,Macrame Wall Hanging Large,2024,Q3,64.2,752152,24.0,45156,265.0,27894,1.01,📈 Growing
Ireland,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q4,81.8,729790,23.99,61731,189.0,39367,1.233,📈 Growing
UAE,Middle East,Textiles,Hand Block Print Bedsheet Set,2024,Q3,64.0,1714008,23.98,58344,203.0,36378,1.01,📈 Growing
Kuwait,Middle East,Bath,Bamboo Toothbrush Holder Set,2024,Q4,83.3,930241,23.97,70849,167.0,44607,1.233,📈 Growing
Japan,Asia Pacific,Furniture,Cane Rattan Side Table,2024,Q2,54.9,605536,23.97,36906,336.0,21759,0.917,📈 Growing
Singapore,Asia Pacific,Decor,Macrame Plant Hanger Set of 3,2024,Q2,55.2,729974,23.97,49160,257.0,28426,0.917,📈 Growing
New Zealand,Asia Pacific,Storage,Handwoven Jute Storage Basket Large,2024,Q2,54.7,407335,23.96,44275,281.0,26028,0.917,📈 Growing
Singapore,Asia Pacific,Kitchen,Teak Wood Salad Bowl Large,2024,Q1,57.3,758951,23.96,48538,250.0,29552,1.018,📈 Growing
Italy,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q3,64.3,860079,23.96,48882,253.0,29200,1.01,📈 Growing
UAE,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q2,55.1,1457342,23.95,46215,236.0,30921,0.917,📈 Growing
USA,North America,Decor,Macrame Wall Hanging Small,2024,Q3,64.1,3287553,23.95,63118,196.0,37693,1.01,📈 Growing
UK,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q3,64.1,1500847,23.95,56083,210.0,35118,1.01,📈 Growing
